smiles,logS,weight
B12B3B4B1C234,-4.7424,1
Br/C=C/Br,-1.7415,1
Br/C=C\Br,-1.3195,1
BrC(Br)(Br)Br,-3.1404,1
BrC(Br)Br,-1.9113,1
BrC(Br)C(Br)Br,-2.72,1
BrC1CC(Br)CC(Br)CC(Br)CC(Br)CC(Br)C1,-6.99043,1
BrC1CCC(Br)C(Br)CCC(Br)C(Br)CCC1Br,-7.8728,1
BrC1CCCCC1,-2.2943,1
BrC=CBr,-1.32,1
BrCBr,-1.28589,1
BrCC(Br)Br,-2.7272,1
BrCC(CBr)(CBr)CBr,-5.3844,1
BrCCBr,-1.68,1
BrCCCBr,-2.0747,1
BrCCCCBr,-2.79022,1
BrCCc1ccccc1,-3.6757,1
Brc1c(Br)c(Br)c(Br)c(Br)c1Br,-9.5374,1
Brc1c(Br)c(Br)c(CCc2c(Br)c(Br)c(Br)c(Br)c2Br)c(Br)c1Br,-9.12999,1
Brc1c(Br)c(Br)c(Oc2c(Br)c(Br)c(Br)c(Br)c2Br)c(Br)c1Br,-9.9819,1
Brc1cc(Br)c(-c2ccccc2)c(Br)c1,-7.3,1
Brc1cc(Br)c(Br)cc1Br,-6.98,1
Brc1cc(Br)c(OCCOc2c(Br)cc(Br)cc2Br)c(Br)c1,-6.5363,1
Brc1cc(Br)c(Oc2cc(Br)cc(Br)c2Br)c(Br)c1,-8.1979,1
Brc1cc(Br)cc(Br)c1,-5.6004,1
Brc1cc2oc3cc(Br)c(Br)cc3c2cc1Br,-6.8395,1
Brc1ccc(-c2c(Br)c(Br)c(Br)c(Br)c2Br)c(Br)c1Br,-9.351,1
Brc1ccc(-c2ccc(Br)c(Br)c2Br)c(Br)c1Br,-7.7563,1
Brc1ccc(-c2ccc(Br)cc2)cc1,-7.74,1
Brc1ccc(-c2ccccc2)cc1,-5.5526,1
Brc1ccc(Br)c(-c2cc(Br)c(Br)cc2Br)c1,-9.7256,1
Brc1ccc(Br)c(-c2cc(Br)ccc2Br)c1,-8.06,1
