smiles,logS,weight
BrC(Br)(Br)Br,-3.14,1
BrC(Br)Br,-1.91,1
BrC1CCCCC1,-2.3,1
BrC=CBr,-1.32,1
BrCBr,-1.17,1
BrCCBr,-1.68,1
BrCCCBr,-2.08,1
Brc1ccc(Br)c(Br)c1,-4.5,1
Brc1ccc(Br)cc1,-4.07,1
Brc1ccc2ccccc2c1,-4.4,1
Brc1cccc(Br)c1,-3.54,1
Brc1cccc(Br)c1Br,-5.04,1
Brc1cccc2ccccc12,-4.35,1
Brc1ccccc1,-2.55,1
Brc1ccccc1Br,-3.5,1
C#CC(C)N(C)C(=O)Nc1ccc(Cl)cc1,-3.9,1
C#CC1(O)CCC2C3CCC4=CC(=O)CCC4(C)C3CCC21C,-5.66,1
C#CC1(O)CCC2C3CCC4=CC(=O)CCC4C3CCC21C,-4.57,1
C#CC1(O)CCC2C3CCc4cc(O)ccc4C3CCC21C,-4.3,1
C#CC1(OC(C)=O)CCC2C3CCC4=CC(=O)CCC4C3CCC21C,-4.79,1
C#CCCC,-1.64,1
C#CCCCC,-2.36,1
C#CCCCCC,-3.01,1
C#CCCCCCC,-3.66,1
C#CCCCCCCC,-4.24,1
C1=CC=CCC=C1,-2.15,1
C1=CCC=CC1,-1.97,1
C1=CCCC1,-2.1,1
C1=CCCCC1,-2.59,1
C1=Cc2cccc3cccc1c23,-3.96,1
C1CCCC1,-2.64,1
C1CCCCC1,-3.1,1
C1CCCCCC1,-3.52,1
C1CCCCCCC1,-4.15,1
C1CCN2CC3CC(CN4CCCCC34)C2C1,-1.89,1
C1CCNC1,1.15,1
C1CCNCC1,1.07,1
C1CCOC1,0.56,1
C1CCOCC1,-0.03,1
C1CNCCN1,1.07,1
C1COCCN1,1.06,1
C=C(C(=O)O)c1ccccc1,-2.06,1
C=C(C)C(=O)O,0.01,1
C=C(C)C(=O)OC,-0.8,1
C=C(C)C1CC=C(C)C(=O)C1,-2.06,1
C=C(C)C1CC=C(C)CC1,-4,1
C=C(C)C1CCC(C)C(=O)C1,-2.18,1
C=C(C)C1Cc2c(ccc3c2OC2COc4cc(OC)c(OC)cc4C2C3=O)O1,-4.42,1
C=C(Cl)CSC(=S)N(CC)CC,-3.39,1
C=C(Cl)Cl,-1.64,1
C=C1CC23CC1(O)CCC2C12C=CC(O)C(C)(C(=O)O1)C2C3C(=O)O,-1.84,1
C=CC#N,0.15,1
C=CC(=C)C,-2.03,1
C=CC(=O)CCC,-0.83,1
C=CC(=O)OC,-0.22,1
C=CC(=O)OCC,-0.74,1
C=CC(=O)OCC(C)C,-1.21,1
C=CC(C)(O)CCC=C(C)C,-1.99,1
C=CC(N)=O,0.96,1
C=CC1CN2CCC1CC2C(O)c1ccnc2ccc(OC)cc12,-3.37,0.5
