smiles,logS,weight
Brc1ccc(-c2nc(-c3ccc4nc[nH]c4c3)no2)cc1,-4.451,1
Brc1cccc(Nc2nc3c(N4CCCC4)ncnc3s2)c1,-3.39942,1
Brc1cccc(Nc2ncnc3cc(NCCCn4ccnc4)ncc23)c1,-1.39794,1
Brc1cccc(Nc2ncnc3cc(NCCc4c[nH]cn4)ncc23)c1,-1.45593,1
Brc1cccc(Nc2ncnc3cnc(NCCCN4CCOCC4)cc23)c1,-7.35655,1
Brc1cccc(Nc2ncnc3cnc(NCCCn4ccnc4)cc23)c1,-7.63827,1
Brc1cccc(Nc2ncnc3cnc(NCCN4CCOCC4)cc23)c1,-8,1
Brc1cccc(Nc2ncnc3cnc(NCCc4c[nH]cn4)cc23)c1,-7.82391,1
Brc1cccc(Nc2ncnc3cnc(NCCc4ccccn4)cc23)c1,-7.76955,1
Brc1cccc(Nc2ncnc3cnc(NCc4cccnc4)cc23)c1,-7.92082,1
Brc1cnc2[nH]c(-c3ccc(CN4CCOCC4)cc3)nc2c1N1CCN(Cc2cccnc2)CC1,-4.26205,1
C#CC(=O)Nc1ccc(CCCCCC)cc1,-4.22185,1
C#CC(=O)Oc1ccc(CCCCCC)cc1,-4.74473,1
C#CC(C)n1[nH]c(=O)c2[nH]c3cc(Cl)ccc3c(=O)c2c1=O,-2.7669,1
C#CCN(C)[C@H](C)Cc1ccccc1,-2.51284,1
C#CCN(CO)c1nc(N(CO)CC#C)nc(N(CO)CC#C)n1,-4.04185,1
C#CCN(Cc1cc2c(=O)n(C)c(CN3CCC(O)CC3)nc2cc1Cl)c1ccc(C(=O)NCc2cccnc2)cc1,-6.30103,0.5
C#CCN(Cc1cc2c(=O)n(C)c(CN3CCC(O)CC3)nc2cc1Cl)c1ccc(C(=O)NCc2cccnc2)cc1,-5.69897,0.5
C#CCN(Cc1cc2c(=O)n(C)c(CN3CCCCC3)nc2cc1Cl)c1ccc(C(=O)NCCCn2cncn2)cc1,-5.22185,0.5
C#CCN(Cc1cc2c(=O)n(C)c(CN3CCCCC3)nc2cc1Cl)c1ccc(C(=O)NCCCn2cncn2)cc1,-4.09691,0.5
