smiles,logS,weight
BrC(Br)(Br)Br,-3.14,1
BrC(Br)Br,-1.91,1
BrCBr,-1.17,1
BrCCBr,-1.68,1
Brc1cc(Br)c(Br)cc1Br,-6.98,1
Brc1cc(Br)cc(Br)c1,-5.6,1
Brc1ccc(Br)c(Br)c1,-4.5,1
Brc1ccc(Br)cc1,-4.07,1
Brc1ccc(I)cc1,-4.56,1
Brc1ccc2ccccc2c1,-4.4,1
Brc1cccc(Br)c1,-3.54,1
Brc1cccc2ccccc12,-4.35,1
Brc1ccccc1,-2.55,1
Brc1ccccc1Br,-3.5,1
C#CC,-0.41,1
C#CC(C)N(C)C(=O)Nc1ccc(Cl)cc1,-3.9,1
C#CC(C)OC(=O)Nc1cccc(Cl)c1,-2.617,1
C#CC1(O)CCC2C3CCC4=CC(=O)CCC4(C)C3CCC21C,-5.66,1
C#CC1(O)CCC2C3CCC4=CC(=O)CCC4(O)C3CCC21C,-4.57,1
C#CC1(O)CCC2C3CCC4=Cc5oncc5CC4(C)C3CCC21C,-5.507,1
C#CC1(O)CCC2C3CCc4cc(O)ccc4C3CCC21C,-4.3,1
C#CC1(OC(C)=O)CCC2C3CCC4=CC(=O)CCC4C3CCC21C,-4.8,1
C#CCC,-1.24,1
C#CCCC,-1.64,1
C#CCCCC,-2.36,1
C#CCCCCC,-3.01,1
C#CCCCCCC,-3.66,1
C#CCCCCCCC,-4.24,1
C/C=C/C=O,0.32,1
C/C=C/CC,-2.54,1
C/C=C/CCCC,-3.82,1
C/C=C\CC,-2.54,1
C1=CCC=CC1,-2.06,1
C1=CCCC1,-2.1,1
C1=CCCCC1,-2.59,1
C1=CCCCCC1,-3.18,1
C1=Cc2cccc3cccc1c23,-3.96,1
C1CCC2CCCCC2C1,-5.19,1
C1CCCC1,-2.64,1
C1CCCCC1,-3.1,1
C1CCCCCC1,-3.51,1
C1CCCCCCC1,-4.15,1
C1CCOC1,0.49,1
C1CCOCC1,-0.03,1
C=C(Br)CC1(C(C)CC)C(=O)NC(=O)NC1=O,-2.647,1
C=C(C)C,-2.33,1
C=C(C)C(=C)C,-2.4,1
C=C(C)C1CC=C(C)C(=O)C1,-2.06,1
C=C(C)C1CC=C(C)CC1,-4.26,1
C=C(C)C1Cc2c(ccc3c2OC2COc4cc(OC)c(OC)cc4C2C3=O)O1,-4.42,1
C=C(C)CC,-2.73,1
C=C(C)CCC,-3.03,1
C=C(C)CN(CC)c1c([N+](=O)[O-])cc(C(F)(F)F)cc1[N+](=O)[O-],-6.124,1
C=C(Cl)CSC(=S)N(CC)CC,-3.39,1
C=C(Cl)Cl,-1.64,1
C=CC,-1.08,1
C=CC#N,0.15,1
C=CC(=C)C,-2.03,1
C=CC(=O)OC,-0.22,1
