smiles,logS,weight
Br/C(C=NNc1ccc2nncn2n1)=C\c1ccccc1,-5.14,1
BrC(=C\c1ccccc1)/C=N/Nc1ccc2nncn2n1,-5.14,1
BrC(=C\c1ccccc1)/C=N/n1cnnc1,-4.65,1
BrC(C=NNc1ccc2nncn2[nH+]1)=Cc1ccccc1,-5.14,1
BrC(C=Nn1cnnc1)=Cc1ccccc1,-4.65,1
Brc1c(-c2ccc3c(c2)OCO3)nc2ncccn12,-3.91,1
Brc1c(-c2ccccc2)nc2n1Cc1ccccc1-2,-5.71,1
Brc1c(NC2=NCCN2)ccc2nccnc12,-4.42,1
Brc1c(NC2=[NH+]CCN2)ccc2nccnc12,-4.42,1
Brc1c[nH+]c2ccccc2c1N1CCCCC1,-5.39,1
Brc1c[nH]c2nc(SCC=Cc3ccccc3)nc-2c1,-6.06,1
Brc1c[nH]c2nc(SCc3nc4ccccc4[nH]3)nc-2c1,-5.48,1
Brc1c[nH]c2ncnc-2c1,-3.82,1
Brc1cc(-c2ccccc2)nc(-c2ccccc2)n1,-6.02,1
Brc1cc(Br)c2nc3c(cc2c1)CCC3,-5.24,1
Brc1cc(Br)cc(CN2CCSCC2)c1,-5.64,1
Brc1cc(Br)cc(C[NH+]2CCSCC2)c1,-5.64,1
Brc1cc(Cc2nnc(-c3ccccc3)o2)c(Br)s1,-6,1
Brc1cc2c(cc1-c1nc3ccccc3s1)OCO2,-5.68,1
Brc1cc2c(cc1CSc1ncccn1)OCO2,-5.56,1
Brc1ccc(-c2cn3ccccc3n2)cc1,-5.53,1
Brc1ccc(-c2cnco2)cc1,-5.01,1
Brc1ccc(-c2csc(N3CCCCCC3)n2)cc1,-5.45,1
Brc1ccc(-c2csc(N3CCOCC3)n2)cc1,-6.04,1
Brc1ccc(-c2nc(-c3ccncc3)no2)cc1,-6.18,1
Brc1ccc(-c2ncc3ccccn23)cc1,-3.97,1
Brc1ccc(-c2nn[n-]n2)cc1,-4.37,1
Brc1ccc(-c2nn[nH]n2)cc1,-4.37,1
Brc1ccc(-c2nnc(-c3cccnc3)o2)cc1,-4.5,1
Brc1ccc(-c2nnc(Cc3ccccc3)o2)cc1,-4.88,1
Brc1ccc(-c2noc(-c3ccccc3)n2)o1,-5.99,1
Brc1ccc(-c2noc(-c3ccccn3)n2)o1,-4.43,1
Brc1ccc(-n2cnc(-c3ccccc3)c2)cc1,-5.48,1
Brc1ccc(/C=N/Nc2nc3ccccc3o2)cc1,-5.65,1
Brc1ccc(/C=N/n2cnnc2)s1,-4.05,1
Brc1ccc(C2=CC(c3ccco3)N3NN=NC3=N2)cc1,-6.06,1
Brc1ccc(C2=CC(c3ccco3)n3nnnc3N2)cc1,-6.06,1
Brc1ccc(C2=CSC3=NCCN23)cc1,-3.99,1
Brc1ccc(C2=Nn3cnnc3SC2)cc1,-4.14,1
Brc1ccc(C2NCCS2)cc1,-3.92,1
Brc1ccc(C2[NH2+]CCS2)cc1,-3.92,1
Brc1ccc(C=NNc2nc3ccccc3o2)cc1,-5.65,1
Brc1ccc(C=Nn2cnnc2)s1,-4.05,1
Brc1ccc(CN2CCC(N3CCCCCC3)CC2)cc1,-3.03,1
Brc1ccc(CN2CCCCCC2)cc1,-4.33,1
Brc1ccc(CN2CCN(c3ccccc3)CC2)o1,-4.15,1
Brc1ccc(CNCC2CCCO2)cc1,-3.9,1
Brc1ccc(CNc2ccc3ncccc3c2)cc1,-6.02,1
Brc1ccc(COc2cccc3cccnc23)cc1,-5.14,1
Brc1ccc(COn2ccnc2)cc1,-3.82,1
Brc1ccc(CSc2ccc(-c3ccco3)nn2)cc1,-5.76,1
Brc1ccc(C[NH+]2CCCCCC2)cc1,-4.33,1
Brc1ccc(C[NH+]2CCN(c3ccccc3)CC2)o1,-4.16,1
Brc1ccc(C[NH2+]CC2CCCO2)cc1,-3.9,1
Brc1ccc(Nc2[nH]cnc3nncc2-3)cc1,-4.54,1
Brc1ccc(Nc2nc(-c3cccnc3)cs2)cc1,-6.04,1
Brc1ccc(Nc2ncnc3[nH]ncc23)cc1,-4.54,1
Brc1ccc(OCCCCN2CCCCC2)cc1,-3.88,1
Brc1ccc(OCCCC[NH+]2CCCCC2)cc1,-3.89,1
Brc1ccc(OCCCOc2cccc3cccnc23)cc1,-5.65,1
Brc1ccc(OCCN2CCOCC2)cc1,-3.99,1
Brc1ccc(OCC[NH+]2CCOCC2)cc1,-4,1
Brc1ccc(OCc2cn3ccccc3n2)cc1,-4.76,1
Brc1ccc(OCc2nc3ccccc3[nH]2)cc1,-5.1,1
Brc1ccc(OCc2nnnn2-c2ccccc2)cc1,-4.72,1
Brc1ccc2[nH]c3c(c2c1)CCC3,-4.88,1
Brc1ccc2c(c1)C1OCCC1C(c1cccs1)N2,-5.38,1
Brc1ccc2c(c1)[C@H]1OCC[C@H]1[C@@H](c1cccs1)N2,-5.38,1
Brc1ccc2ncnc(NCc3cccnc3)c2c1,-3.96,1
Brc1ccc2oc(-c3cc[nH]n3)cc2c1,-5.72,1
Brc1ccc2oc(-c3ccn[nH]3)cc2c1,-5.72,1
Brc1cccc(-c2cnco2)c1,-4.75,1
Brc1cccc(/C=N/Nc2nn[nH]n2)c1,-4.36,1
Brc1cccc(C2Nc3cccc4cccc(c34)N2)c1,-6.04,1
Brc1cccc(C=NNc2nn[n-]n2)c1,-4.36,1
Brc1cccc(C=NNc2nn[nH]n2)c1,-4.36,1
Brc1cccc(C=Nc2cccc3ncccc23)c1,-4.41,1
Brc1cccc(CN2CCCCCC2)c1,-4.25,1
Brc1cccc(CN2CCN(c3ncccn3)CC2)c1,-4.12,1
Brc1cccc(CNCC2CCCO2)c1,-3.82,1
Brc1cccc(CNCc2ccncc2)c1,-3.82,1
Brc1cccc(CNn2cnnc2)c1,-4.05,1
Brc1cccc(C[NH+]2CCCCCC2)c1,-4.25,1
Brc1cccc(C[NH+]2CCN(c3ncccn3)CC2)c1,-4.12,1
Brc1cccc(C[NH2+]CC2CCCO2)c1,-3.83,1
Brc1cccc(C[NH2+]Cc2ccncc2)c1,-3.83,1
Brc1cccc(Nc2nc(-c3cccnc3)cs2)c1,-6.22,1
Brc1cccc(OCCCCn2cncn2)c1,-4.33,1
Brc1cccc2sc(N3CCCC3)nc12,-4.74,1
Brc1ccccc1-c1cnco1,-4.42,1
Brc1ccccc1-c1nc2c3ccccc3ncn2n1,-4.29,1
Brc1ccccc1/C=N/N1CCCCC1,-5.73,1
Brc1ccccc1/C=N/Nc1ccccn1,-5.96,1
Brc1ccccc1/C=N/Nc1nc2ccccc2o1,-5.8,1
Brc1ccccc1C1=Nn2c(nnc2-c2ccco2)SC1,-4.18,1
Brc1ccccc1C1N=C(c2ccccc2)NO1,-4.46,1
Brc1ccccc1C1NC(c2ccccc2)=NO1,-4.46,1
