smiles,logS,weight
Br/C=C/Br,-1.32,1
Br/C=C\Br,-1.46,0.5
Br/C=C\Br,-1.32,0.5
BrC(Br)(Br)Br,-3.14,1
BrC(Br)Br,-1.91,0.75
BrC(Br)Br,-1.86,0.25
BrC(Br)C(Br)Br,-2.72,1
BrC1CCC(Br)C(Br)CCC(Br)C(Br)CCC1Br,-7.87,1
BrC1CCCCC1,-2.3,0.5
BrC1CCCCC1,-2.29,0.5
BrCBr,-1.17,0.5
BrCBr,-1.16,0.5
BrCC(Br)Br,-2.73,1
BrCC(CBr)(CBr)CBr,-5.38,1
BrCCBr,-1.68,0.75
BrCCBr,-1.66,0.25
BrCCCBr,-2.08,1
BrCCCCBr,-2.79,1
BrCCc1ccccc1,-3.68,1
Brc1c(Br)c(Br)c(Br)c(Br)c1Br,-9.54,1
Brc1cc(Br)c(Br)cc1Br,-6.99,0.5
Brc1cc(Br)c(Br)cc1Br,-6.98,0.5
Brc1cc(Br)c(OCCOc2c(Br)cc(Br)cc2Br)c(Br)c1,-6.54,1
Brc1cc(Br)cc(Br)c1,-5.6,1
Brc1cc2oc3cc(Br)c(Br)cc3c2cc1Br,-6.84,1
Brc1ccc(-c2ccccc2)cc1,-5.55,1
Brc1ccc(Br)c(-c2cc(Br)c(Br)cc2Br)c1,-9.73,1
Brc1ccc(Br)c(Br)c1,-4.65,0.25
Brc1ccc(Br)c(Br)c1,-4.5,0.75
Brc1ccc(Br)cc1,-4.07,1
Brc1ccc(I)cc1,-4.56,0.5
Brc1ccc(I)cc1,-4.51,0.5
Brc1ccc2c(c1)Sc1ccccc1N2,-6.11,1
Brc1ccc2ccccc2c1,-4.4,1
Brc1cccc(Br)c1,-3.54,1
Brc1cccc(Br)c1Br,-5.04,1
Brc1cccc2ccccc12,-4.35,1
Brc1ccccc1,-2.55,1
Brc1ccccc1Br,-3.5,1
Brc1ccccn1,-0.881,1
C#CC,-1.04,0.5
C#CC,-0.41,0.5
C#CC#C,-0.724,1
C#CC#CC=C=CCCO,-1.89,1
C#CC(C)(CC)OC(N)=O,-0.946,1
C#CC(C)(O)CC,0.0594,1
C#CC(C)N(C(=O)CCl)c1ccccc1,-2.65,1
C#CC(C)N(C)C(=O)Nc1ccc(Cl)cc1,-3.9,1
C#CC(C)OC(=O)Nc1cccc(Cl)c1,-2.62,1
C#CC(O)CCC,-0.412,1
C#CC(OC(=O)C1C(C=C(C)C)C1(C)C)/C(C)=C/CC,-6.39,1
C#CC1(O)CCC2C3CCC4=CC(=O)CCC4(C)C3CCC21C,-5.8,0.25
C#CC1(O)CCC2C3CCC4=CC(=O)CCC4(C)C3CCC21C,-5.66,0.75
C#CC1(O)CCC2C3CCC4=CC(=O)CCC4(O)C3CCC21C,-4.57,1
C#CC1(O)CCC2C3CCC4=CC(=O)CCC4C3CCC21C,-4.63,0.4
C#CC1(O)CCC2C3CCC4=CC(=O)CCC4C3CCC21C,-4.57,0.6
C#CC1(O)CCC2C3CCC4=CC(=O)CCC4C3CCC21CC,-5.26,1
C#CC1(O)CCC2C3CCC4=Cc5oncc5CC4(C)C3CCC21C,-5.51,1
C#CC1(O)CCC2C3CCc4cc(O)ccc4C3CCC21C,-4.42,0.666667
C#CC1(O)CCC2C3CCc4cc(O)ccc4C3CCC21C,-4.3,0.333333
C#CC1(OC(C)=O)CCC2C3CCC4=CC(=O)CCC4C3CCC21C,-4.79,1
C#CC1(OC(N)=O)CCCCC1,-1.83,1
C#CC=C,-1.46,1
C#CCBr,-0.902,1
C#CCC,-1.28,0.5
C#CCC,-1.24,0.5
C#CCC1=C(C)C(OC(=O)C2C(C=C(C)C)C2(C)C)CC1=O,-4.57,1
C#CCCC,-1.64,1
C#CCCCC,-2.36,0.75
C#CCCCC,-2.33,0.25
C#CCCCCC,-3.01,1
C#CCCCCCC,-3.66,1
C#CCCCCCC#C,-2.98,1
C#CCCCCCCC,-4.24,1
C#CCN1C(=O)COc2cc(F)c(N3C(=O)C4=C(CCCC4)C3=O)cc21,-5.3,1
C#CCN1CC(=O)N(COC(=O)C2C(C=C(C)C)C2(C)C)C1=O,-3.53,1
C#CCO,1.25,1
C#CCOC(=O)/C=C(C)/C=C/CC(C)CCCC(C)C,-4.72,1
C#CCOS(=O)OC1CCCCC1Oc1ccc(C(C)(C)C)cc1,-5.85,1
C#CCOc1cc(-n2nc3n(c2=O)CCCC3)c(Cl)cc1Cl,-4.33,1
C#Cc1ccccc1,-2.35,1
C(=C/c1ccccc1)\CN1CCN(C(c2ccccc2)c2ccccc2)CC1,-2.69,1
C(=C/c1ccccc1)\c1ccccc1,-5.79,1
C/C(Cl)=C/Cl,-1.61,1
C/C=C(/C)C=O,-0.527,1
C/C=C(/CCCC)C(N)=O,-1.37,1
C/C=C(C(=C/C)/c1ccc(O)cc1)\c1ccc(O)cc1,-4.95,1
C/C=C(\C)C(=O)OC1CC(OC(C)=O)C2(C(=O)OC)COC3C2C12COC(O)(C(=O)OC)C2C(C)(C12OC1(C)C1CC2OC2OC=CC21O)C3O,-3.44,1
C/C=C(\C)C(=O)OC1CCC2(C)C3CCC4C5(O)CC(O)C6(O)C(CN7CC(C)CCC7C6(C)O)C5(O)CC42OC13O,-3.02,1
C/C=C(\CCCC)C(=O)NC(N)=O,-2.79,1
C/C=C/C,-1.99,1
C/C=C/C#N,-0.429,1
C/C=C/C(=O)Nc1ccc(O)cc1,-2.65,1
C/C=C/C(=O)OC1CC2OC3C=C(C)C(=O)CC3(C)C1(C)C21CO1,-2.92,1
C/C=C/C(C)O,0.0152,1
C/C=C/C(O)CC,-0.42,1
C/C=C/C=C/C(=O)O,-1.77,0.5
C/C=C/C=C/C(=O)O,-1.65,0.5
C/C=C/C=O,0.32,1
C/C=C/CC,-2.54,1
C/C=C/CC#N,-0.96,1
C/C=C/CC1(C)C(=O)NC(=O)N(C)C1=O,-1.54,1
