smiles,logS,weight
B12B3B4B1C234,-4.7424,0.25
Br/C=C/Br,-1.47611,0.675
Br/C=C\Br,-1.36389,0.675
BrC(Br)(Br)Br,-3.14005,1
BrC(Br)Br,-1.88302,1
BrC(Br)C(Br)Br,-2.72511,1
BrC1CC(Br)CC(Br)CC(Br)CC(Br)CC(Br)C1,-6.99043,0.25
BrC1CCC(Br)C(Br)CCC(Br)C(Br)CCC1Br,-7.87104,0.675
BrC1CCCCC1,-2.29597,1
BrC=CBr,-1.32,0.7
BrCBr,-1.18173,1
BrCC(Br)Br,-2.72896,0.675
BrCC(CBr)(CBr)CBr,-5.38163,0.675
BrCCBr,-1.67319,1
BrCCCBr,-2.07765,1
BrCCCCBr,-2.79008,0.675
BrCCc1ccccc1,-3.67841,0.675
Brc1c(Br)c(Br)c(Br)c(Br)c1Br,-9.53904,0.675
Brc1c(Br)c(Br)c(CCc2c(Br)c(Br)c(Br)c(Br)c2Br)c(Br)c1Br,-9.12999,0.25
Brc1c(Br)c(Br)c(Oc2c(Br)c(Br)c(Br)c(Br)c2Br)c(Br)c1Br,-9.9819,0.25
Brc1cc(Br)c(-c2ccccc2)c(Br)c1,-7.3,0.25
Brc1cc(Br)c(Br)cc1Br,-6.98531,1
Brc1cc(Br)c(OCCOc2c(Br)cc(Br)cc2Br)c(Br)c1,-6.53863,0.675
Brc1cc(Br)c(Oc2cc(Br)cc(Br)c2Br)c(Br)c1,-8.1979,0.25
Brc1cc(Br)cc(Br)c1,-5.60006,1
Brc1cc2oc3cc(Br)c(Br)cc3c2cc1Br,-6.83982,0.675
Brc1ccc(-c2c(Br)c(Br)c(Br)c(Br)c2Br)c(Br)c1Br,-9.351,0.25
Brc1ccc(-c2ccc(Br)c(Br)c2Br)c(Br)c1Br,-7.7563,0.25
Brc1ccc(-c2ccc(Br)cc2)cc1,-7.74,0.25
Brc1ccc(-c2ccccc2)cc1,-5.55183,1
Brc1ccc(Br)c(-c2cc(Br)c(Br)cc2Br)c1,-9.72837,0.675
Brc1ccc(Br)c(-c2cc(Br)ccc2Br)c1,-8.06,0.25
Brc1ccc(Br)c(Br)c1,-4.54431,1
Brc1ccc(Br)cc1,-4.07069,1
Brc1ccc(I)cc1,-4.50362,1
Brc1ccc2c(c1)Sc1ccccc1N2,-6.1107,0.675
Brc1ccc2ccccc2c1,-4.40002,1
Brc1cccc(Br)c1,-3.54114,1
Brc1cccc(Br)c1Br,-5.04004,1
Brc1cccc(Nc2ncnc3cc4[nH]ccc4cc23)c1,-2.82,0.25
Brc1cccc(Nc2ncnc3cc4[nH]ncc4cc23)c1,-3.96,0.25
Brc1cccc2ccccc12,-4.34889,1
Brc1ccccc1,-2.55151,1
Brc1ccccc1Br,-3.5,1
Brc1ccccn1,-0.880915,1
C#CC,-1.04092,0.411111
C#CC,-0.41,0.588889
C#CC#C,-0.724037,0.675
C#CC(C)(C)C,-2.61356,0.25
C#CC(C)(C)N,1.03166,0.25
C#CC(C)(C)NC(=O)c1cc(Cl)cc(Cl)c1,-4.23213,0.75
C#CC(C)(C)O,1.07504,0.75
C#CC(C)(CC)OC(N)=O,-0.945852,0.675
C#CC(C)(O)CC,0.0739813,1
C#CC(C)(O)CC(C)C,-1.0366,0.25
C#CC(C)(O)CC/C=C(\C)CC,-2.30277,0.25
C#CC(C)(O)CCC=C(C)C,-1.77208,0.25
C#CC(C)(O)CCCC(C)CCCC(C)C,-4.95306,0.25
C#CC(C)N(C(=O)CCl)c1ccccc1,-2.64881,0.675
C#CC(C)N(C)C(=O)Nc1ccc(Cl)cc1,-3.89893,1
C#CC(C)OC(=O)Nc1cccc(Cl)c1,-2.61782,1
C#CC(O)CCC,-0.412037,0.675
C#CC(OC(=O)C1C(C=C(C)C)C1(C)C)/C(C)=C/CC,-6.39115,0.675
C#CC1(O)CCC2C3CCC4=CC(=O)CCC4(C)C3CCC21C,-5.66669,1
