smiles,logS,weight
BrC(Br)(Br)Br,-3.14,1
BrC(Br)Br,-1.87357,1
BrC1CCCCC1,-2.29684,0.95
BrC=CBr,-1.32,0.45
BrCBr,-1.16821,1
BrCCBr,-1.67143,1
BrCCCBr,-2.07737,0.95
Brc1ccc(Br)c(Br)c1,-4.49929,1
Brc1ccc(Br)cc1,-4.07071,1
Brc1ccc2ccccc2c1,-4.4,0.9
Brc1cccc(Br)c1,-3.54107,1
Brc1cccc(Br)c1Br,-5.04,0.45
Brc1cccc2ccccc12,-4.34893,1
Brc1ccccc1,-2.54893,1
Brc1ccccc1Br,-3.5,1
C#CC(C)N(C)C(=O)Nc1ccc(Cl)cc1,-3.89893,1
C#CC1(O)CCC2C3CCC4=CC(=O)CCC4(C)C3CCC21C,-5.65929,1
C#CC1(O)CCC2C3CCC4=CC(=O)CCC4C3CCC21C,-4.6,0.95
C#CC1(O)CCC2C3CCc4cc(O)ccc4C3CCC21C,-4.3425,1
C#CC1(OC(C)=O)CCC2C3CCC4=CC(=O)CCC4C3CCC21C,-4.79107,1
C#CCCC,-1.63893,1
C#CCCCC,-2.33036,1
C#CCCCCC,-3.01,1
C#CCCCCCC,-3.66071,1
C#CCCCCCCC,-4.18786,1
C1=CC=CCC=C1,-2.16158,0.95
C1=CCC=CC1,-2.03071,1
C1=CCCC1,-2.10179,1
C1=CCCCC1,-2.58857,1
C1=Cc2cccc3cccc1c23,-3.96571,1
C1CCCC1,-2.64464,1
C1CCCCC1,-3.13036,1
C1CCCCCC1,-3.515,1
C1CCCCCCC1,-4.15071,1
C1CCN2CC3CC(CN4CCCCC34)C2C1,-1.88842,0.95
C1CCNC1,1.14895,0.95
C1CCNCC1,1.07,0.95
C1CCOC1,0.525,0.642857
C1CCOC1,1.142,0.357143
C1CCOCC1,-0.0303571,1
C1CNCCN1,1.06737,0.95
C1COCCN1,1.06,0.95
C=C(C(=O)O)c1ccccc1,-2.05842,0.95
C=C(C)C(=O)O,0.0121053,0.95
C=C(C)C(=O)OC,-0.812632,0.95
C=C(C)C1CC=C(C)C(=O)C1,-2.06107,1
C=C(C)C1CC=C(C)CC1,-4.11714,1
C=C(C)C1CCC(C)C(=O)C1,-2.18,0.45
C=C(C)C1Cc2c(ccc3c2OC2COc4cc(OC)c(OC)cc4C2C3=O)O1,-4.42,0.9
C=C(Cl)CSC(=S)N(CC)CC,-3.37571,1
C=C(Cl)Cl,-1.63786,1
C=C1CC23CC1(O)CCC2C12C=CC(O)C(C)(C(=O)O1)C2C3C(=O)O,-1.84053,0.95
C=CC#N,0.148929,1
C=CC(=C)C,-2.03143,1
C=CC(=O)CCC,-0.83,0.45
C=CC(=O)OC,-0.2275,1
C=CC(=O)OCC,-0.784211,0.95
C=CC(=O)OCC(C)C,-1.853,0.5
C=CC(=O)OCC(C)C,-1.21,0.45
C=CC(C)(O)CCC=C(C)C,-1.98893,1
C=CC(N)=O,0.956842,0.95
C=CC1CN2CCC1CC2C(O)c1ccnc2ccc(OC)cc12,-3.37,0.225
C=CC1CN2CCC1CC2C(O)c1ccnc2ccc(OC)cc12,-2.76,0.225
C=CC1CN2CCC1CC2C(O)c1ccnc2ccccc12,-3.08,0.45
C=CC=C,-1.86893,1
C=CC=O,0.572857,1
C=CCBr,-1.5,0.95
C=CCC(C)C,-3.24211,0.95
C=CCC1(C(C)C)C(=O)NC(=O)NC1=O,-1.71007,1
C=CCC1(C(C)CCC)C(=O)NC(=S)NC1=O,-3.45929,1
C=CCC1(CC=C)C(=O)NC(=O)NC1=O,-2.06582,1
C=CCC1(c2ccccc2)C(=O)NC(=O)NC1=O,-2.23075,1
C=CCC=C,-2.08893,1
C=CCCC,-2.67857,1
C=CCCC=C,-2.6825,1
C=CCCCC,-3.22857,1
C=CCCCCCC,-4.43893,1
C=CCCCCCCC,-5.05071,1
C=CCCCCCCCCC(=O)O,-3.39895,0.95
C=CCCl,-1.884,0.5
C=CCCl,-1.36,0.45
C=CCN(CC=C)C(=O)C(Cl)Cl,-1.61947,0.95
C=CCOC(=O)c1ccccc1C(=O)OCC=C,-3.13053,0.95
C=CCS[S+]([O-])CC=C,-0.83,0.9
C=CCc1ccc(O)c(OC)c1,-1.56071,1
C=CCc1ccc(OC)cc1,-2.92,1
C=COCC,-0.852857,1
C=Cc1ccccc1,-2.715,1
CC(=O)C1(C)CCC2C3C=C(C)C4=CC(=O)CCC4(C)C3CCC21C,-5.27,0.9
CC(=O)C1(O)CCC2C3CC(C)C4=CC(=O)C=CC4(C)C3(F)C(O)CC21C,-4.09932,1
CC(=O)C1(O)CCC2C3CCC4=CC(=O)CCC4(C)C3CCC21C,-4.70895,0.678571
CC(=O)C1(O)CCC2C3CCC4=CC(=O)CCC4(C)C3CCC21C,-3.817,0.321429
CC(=O)C1CCC2C3CC=C4CC(O)CCC4(C)C3CCC12C,-4.65071,1
CC(=O)C1CCC2C3CCC4=CC(=O)CCC4(C)C3CCC12C,-4.47071,1
CC(=O)CC(=O)C(C)(C)C,-1.63,0.45
CC(=O)CC(=O)CC(C)C,-1.6,0.45
CC(=O)CC(C)=O,0.22,0.95
CC(=O)CC(C)C,-1.42,0.321429
CC(=O)CC(C)C,-0.730526,0.678571
CC(=O)CC(c1ccccc1)c1c(O)c2ccccc2oc1=O,-4.02275,1
CC(=O)CC1CCCCN1,-0.45,0.45
CC(=O)CCC(C)C,-1.32737,0.95
CC(=O)CCC1C(=O)N(c2ccccc2)N(c2ccccc2)C1=O,-3.27,0.9
CC(=O)N(C)C,1.09214,1
CC(=O)N(C)c1ccccc1,-0.950526,0.95
CC(=O)N(c1onc(C)c1C)S(=O)(=O)c1ccc(N)cc1,-3.59,0.45
CC(=O)N=c1sc(S(N)(=O)=O)nn1C,-1.83,0.45
CC(=O)NC(N)=O,-0.9,0.45
CC(=O)NS(=O)(=O)c1ccc(N)cc1,-1.23211,0.95
CC(=O)Nc1cc(NS(=O)(=O)C(F)(F)F)c(C)cc1C,-3.23893,1
CC(=O)Nc1ccc(Br)cc1,-3.0815,0.9
CC(=O)Nc1ccc(C=O)cc1,-1.58,0.45
CC(=O)Nc1ccc(Cl)cc1,-2.8415,0.9
CC(=O)Nc1ccc(F)cc1,-1.78,0.9
CC(=O)Nc1ccc(I)cc1,-3.25,0.45
CC(=O)Nc1ccc(N)cc1,-0.98,0.45
CC(=O)Nc1ccc(O)cc1,-1.03107,1
CC(=O)Nc1ccc(OC(C)=O)cc1,-1.90895,0.95
CC(=O)Nc1ccc(S(N)(=O)=O)cc1,-1.60842,0.95
CC(=O)Nc1ccc([N+](=O)[O-])cc1,-2.691,0.9
CC(=O)Nc1cccc(C)c1,-2.09053,0.95
CC(=O)Nc1ccccc1,-1.31571,1
CC(=O)Nc1ccccc1Cl,-1.4,0.95
CC(=O)Nc1ccccc1O,-2.23737,0.95
CC(=O)Nc1ccccc1[N+](=O)[O-],-1.90947,0.95
CC(=O)Nc1nnc(S(N)(=O)=O)s1,-2.35857,1
CC(=O)O,1.22053,0.95
CC(=O)OC(C)C,-0.538929,1
CC(=O)OC1(C(=O)CO)C(C)CC2C3CCC4=CC(=O)C=CC4(C)C3(F)C(O)CC21C,-4.9,0.45
CC(=O)OC1(C(C)=O)CCC2C3C=C(C)C4=CC(=O)CCC4(C)C3CCC21C,-5.32643,1
CC(=O)OC1(C(C)=O)CCC2C3C=C(Cl)C4=CC(=O)C=CC4(C)C3CCC21C,-4.94737,0.95
CC(=O)OC1CCC2(C)C(=CCC3C4CCC(=O)C4(C)CCC32)C1,-4.46,0.45
CC(=O)OC1CCCCC1,-1.67,0.45
CC(=O)OCC(=O)C1(O)C(OC(C)=O)CC2C3CCC4=CC(=O)C=CC4(C)C3(F)C(O)CC21C,-4.13,1
CC(=O)OCC(=O)C1(O)CCC2C3CCC4=CC(=O)C=CC4(C)C3C(O)CC21C,-4.36964,1
CC(=O)OCC(=O)C1(O)CCC2C3CCC4=CC(=O)CCC4(C)C3C(=O)CC21C,-4.17607,1
CC(=O)OCC(=O)C1(O)CCC2C3CCC4=CC(=O)CCC4(C)C3C(O)CC21C,-4.54286,1
