smiles,logS,weight
BrC(Br)(Br)Br,-3.14,1
BrC(Br)Br,-1.87357,1
BrCBr,-1.16821,1
BrCCBr,-1.67143,1
Brc1cc(Br)c(Br)cc1Br,-6.98684,0.95
Brc1cc(Br)cc(Br)c1,-5.6,0.95
Brc1ccc(Br)c(Br)c1,-4.49929,1
Brc1ccc(Br)cc1,-4.07071,1
Brc1ccc(I)cc1,-4.50316,0.95
Brc1ccc2ccccc2c1,-4.4,0.9
Brc1cccc(Br)c1,-3.54107,1
Brc1cccc2ccccc12,-4.34893,1
Brc1ccccc1,-2.54893,1
Brc1ccccc1Br,-3.5,1
C#CC,-0.41,0.45
C#CC(C)N(C)C(=O)Nc1ccc(Cl)cc1,-3.89893,1
C#CC(C)OC(=O)Nc1cccc(Cl)c1,-2.617,0.95
C#CC1(O)CCC2C3CCC4=CC(=O)CCC4(C)C3CCC21C,-5.65929,1
C#CC1(O)CCC2C3CCC4=CC(=O)CCC4(O)C3CCC21C,-4.57,0.45
C#CC1(O)CCC2C3CCC4=Cc5oncc5CC4(C)C3CCC21C,-5.507,0.45
C#CC1(O)CCC2C3CCc4cc(O)ccc4C3CCC21C,-4.3425,1
C#CC1(OC(C)=O)CCC2C3CCC4=CC(=O)CCC4C3CCC21C,-4.79107,1
C#CCC,-1.25842,0.95
C#CCCC,-1.63893,1
C#CCCCC,-2.33036,1
C#CCCCCC,-3.01,1
C#CCCCCCC,-3.66071,1
C#CCCCCCCC,-4.18786,1
C/C=C/C=O,0.32,0.45
C/C=C/CC,-2.54,0.45
C/C=C/CCCC,-3.82,0.45
C/C=C\CC,-2.54,0.45
C1=CCC=CC1,-2.03071,1
C1=CCCC1,-2.10179,1
C1=CCCCC1,-2.58857,1
C1=CCCCCC1,-3.17105,0.95
C1=Cc2cccc3cccc1c23,-3.96571,1
C1CCC2CCCCC2C1,-5.19105,0.95
C1CCCC1,-2.64464,1
C1CCCCC1,-3.13036,1
C1CCCCCC1,-3.515,1
C1CCCCCCC1,-4.15071,1
C1CCOC1,0.525,0.642857
C1CCOC1,1.142,0.357143
C1CCOCC1,-0.0303571,1
C=C(Br)CC1(C(C)CC)C(=O)NC(=O)NC1=O,-2.647,0.45
C=C(C)C,-2.32947,0.95
C=C(C)C(=C)C,-2.4,0.95
C=C(C)C1CC=C(C)C(=O)C1,-2.06107,1
C=C(C)C1CC=C(C)CC1,-4.11714,1
C=C(C)C1Cc2c(ccc3c2OC2COc4cc(OC)c(OC)cc4C2C3=O)O1,-4.42,0.9
C=C(C)CC,-2.73105,0.95
C=C(C)CCC,-3.03158,0.95
C=C(C)CN(CC)c1c([N+](=O)[O-])cc(C(F)(F)F)cc1[N+](=O)[O-],-6.17558,0.95
C=C(Cl)CSC(=S)N(CC)CC,-3.37571,1
C=C(Cl)Cl,-1.63786,1
C=CC,-1.08,0.45
C=CC#N,0.148929,1
C=CC(=C)C,-2.03143,1
C=CC(=O)OC,-0.2275,1
C=CC(C)(O)CCC=C(C)C,-1.98893,1
C=CC(C)C,-2.73105,0.95
C=CC(O)CCC,-0.594737,0.95
C=CC1(C)OC(=O)N(c2cc(Cl)cc(Cl)c2)C1=O,-4.925,0.45
C=CC=C,-1.86893,1
C=CC=O,0.572857,1
C=CCC,-2.18474,0.95
C=CCC1(C(C)C)C(=O)NC(=O)NC1=O,-1.71007,1
C=CCC1(C(C)CC)C(=O)NC(=O)NC1=O,-2.016,0.45
C=CCC1(C(C)CCC)C(=O)NC(=O)NC1=O,-2.356,0.45
C=CCC1(C(C)CCC)C(=O)NC(=S)NC1=O,-3.45929,1
C=CCC1(C)C(=O)NC(=O)NC1=O,-1.16,0.45
C=CCC1(CC)C(=O)NC(=O)NC1=O,-1.614,0.45
C=CCC1(CC=C)C(=O)NC(=O)NC1=O,-2.06582,1
C=CCC1(c2ccccc2)C(=O)NC(=O)NC1=O,-2.23075,1
C=CCC=C,-2.08893,1
C=CCCC,-2.67857,1
C=CCCC=C,-2.6825,1
C=CCCCC,-3.22857,1
C=CCCCCC,-3.73105,0.95
C=CCCCCCC,-4.43893,1
C=CCCCCCCC,-5.05071,1
C=CCCCCCCCC,-5.51,0.45
C=CCCCO,-0.165263,0.95
C=CCS[S+]([O-])CC=C,-0.83,0.9
C=CCc1ccc(O)c(OC)c1,-1.56071,1
C=CCc1ccc(OC)cc1,-2.92,1
C=CCl,-1.54474,0.95
C=COCC,-0.852857,1
C=Cc1ccccc1,-2.715,1
CC#N,0.26,0.45
CC#N,1.387,0.5
CC(=O)C(C)(C)C,-0.721053,0.95
CC(=O)C(C)C,-0.136316,0.95
CC(=O)C1(C)CCC2C3C=C(C)C4=CC(=O)CCC4(C)C3CCC21C,-5.27,0.9
CC(=O)C1(O)CCC2C3CC(C)C4=CC(=O)C=CC4(C)C3(F)C(O)CC21C,-4.09932,1
CC(=O)C1(O)CCC2C3CCC4=CC(=O)CCC4(C)C3CCC21C,-4.70895,0.678571
CC(=O)C1(O)CCC2C3CCC4=CC(=O)CCC4(C)C3CCC21C,-3.817,0.321429
CC(=O)C1CCC2C3CC=C4CC(O)CCC4(C)C3CCC12C,-4.65071,1
CC(=O)C1CCC2C3CCC4=CC(=O)CCC4(C)C3CCC12C,-4.47071,1
CC(=O)CC(C)C,-1.42,0.321429
CC(=O)CC(C)C,-0.730526,0.678571
CC(=O)CC(c1ccc(Cl)cc1)c1c(O)c2ccccc2oc1=O,-5.839,0.45
CC(=O)CC(c1ccccc1)c1c(O)c2ccccc2oc1=O,-4.02275,1
CC(=O)CCC1C(=O)N(c2ccccc2)N(c2ccccc2)C1=O,-3.27,0.9
CC(=O)N(C)C,1.09214,1
CC(=O)N(c1onc(C)c1C)[S+]([O-])c1ccc(N)cc1,-3.59,0.45
CC(=O)Nc1cc(NS(=O)(=O)C(F)(F)F)c(C)cc1C,-3.23893,1
CC(=O)Nc1ccc(Br)cc1,-3.0815,0.9
CC(=O)Nc1ccc(Cl)cc1,-2.8415,0.9
CC(=O)Nc1ccc(F)cc1,-1.78,0.9
CC(=O)Nc1ccc(O)cc1,-1.03107,1
CC(=O)Nc1ccc([N+](=O)[O-])cc1,-2.691,0.9
CC(=O)Nc1ccccc1,-1.31571,1
CC(=O)Nc1nnc(S(N)(=O)=O)s1,-2.35857,1
CC(=O)OC(C)C,-0.538929,1
CC(=O)OC1(C(C)=O)CCC2C3C=C(C)C4=CC(=O)CCC4(C)C3CCC21C,-5.32643,1
CC(=O)OC1(C)CCC2C3CCC4=CC(=O)CCC4(C)C3CCC21C,-5.284,0.45
CC(=O)OC1CCC2C3CCC4=CC(=O)CCC4(C)C3CCC12C,-5.184,0.45
CC(=O)OCC(=O)C1(O)C(C)CC2C3CCC4=CC(=O)C=CC4(C)C3(F)C(O)CC21C,-4.9,0.95
CC(=O)OCC(=O)C1(O)C(OC(C)=O)CC2C3CCC4=CC(=O)C=CC4(C)C3(F)C(O)CC21C,-4.13,1
CC(=O)OCC(=O)C1(O)CCC2C3CCC4=CC(=O)C=CC4(C)C3C(O)CC21C,-4.36964,1
CC(=O)OCC(=O)C1(O)CCC2C3CCC4=CC(=O)CCC4(C)C3C(=O)CC21C,-4.17607,1
CC(=O)OCC(=O)C1(O)CCC2C3CCC4=CC(=O)CCC4(C)C3C(O)CC21C,-4.54286,1
CC(=O)OCC(=O)C1CCC2C3CCC4=CC(=O)CCC4(C)C3CCC12C,-4.63,1
CC(=O)OCC(C)C,-1.23947,0.95
CC(=O)OCC(COC(C)=O)OC(C)=O,-0.591071,1
CC(=O)OCCC(C)C,-1.88214,1
CC(=O)OCN1C(=O)NC(c2ccccc2)(c2ccccc2)C1=O,-4.47,0.45
CC(=O)SC1CC2=CC(=O)CCC2(C)C2CCC3(C)C(CCC34CCC(=O)O4)C12,-4.24454,1
CC(=O)c1ccccc1,-1.28429,1
CC(C)(C)C(=O)C(Oc1ccc(Cl)cc1)n1cncn1,-3.61143,1
CC(C)(C)CCO,-0.5,1
CC(C)(C)CO,-0.400357,1
CC(C)(C)Cc1ccccc1,-4.15,0.45
CC(C)(C)c1ccc(O)cc1,-2.41107,1
CC(C)(C)c1ccccc1,-3.65929,1
