smiles,logS,weight
Br/C=C/Br,-1.32,0.425
Br/C=C\Br,-1.39,0.425
BrC(Br)(Br)Br,-3.14,1
BrC(Br)Br,-1.87914,1
BrC(Br)C(Br)Br,-2.72649,0.925
BrC1CCC(Br)C(Br)CCC(Br)C(Br)CCC1Br,-7.87,0.425
BrC1CCCCC1,-2.29627,1
BrCBr,-1.16747,1
BrCC(Br)Br,-2.73,0.425
BrCC(CBr)(CBr)CBr,-5.38,0.425
BrCCBr,-1.67226,1
BrCCCBr,-2.07818,1
BrCCCCBr,-2.79,0.425
BrCCc1ccccc1,-3.68,0.425
Brc1c(Br)c(Br)c(Br)c(Br)c1Br,-9.54,0.425
Brc1cc(Br)c(Br)cc1Br,-6.98627,1
Brc1cc(Br)c(OCCOc2c(Br)cc(Br)cc2Br)c(Br)c1,-6.54,0.425
Brc1cc(Br)cc(Br)c1,-5.6,1
Brc1cc2oc3cc(Br)c(Br)cc3c2cc1Br,-6.84,0.425
Brc1ccc(-c2ccccc2)cc1,-5.55162,0.925
Brc1ccc(Br)c(-c2cc(Br)c(Br)cc2Br)c1,-9.73,0.425
Brc1ccc(Br)c(Br)c1,-4.50818,1
Brc1ccc(Br)cc1,-4.07055,1
Brc1ccc(I)cc1,-4.513,1
Brc1ccc2c(c1)Sc1ccccc1N2,-6.11,0.425
Brc1ccc2ccccc2c1,-4.4,1
Brc1cccc(Br)c1,-3.54082,1
Brc1cccc(Br)c1Br,-5.04,0.875
Brc1cccc2ccccc12,-4.34918,1
Brc1ccccc1,-2.54918,1
Brc1ccccc1Br,-3.5,1
Brc1ccccn1,-0.881,0.925
C#CC,-1.04,0.2125
C#CC,-0.41,0.6625
C#CC#C,-0.724,0.425
C#CC#CC=C=CCCO,-1.89,0.425
C#CC(C)(CC)OC(N)=O,-0.946,0.425
C#CC(C)(O)CC,0.0894541,0.925
C#CC(C)N(C(=O)CCl)c1ccccc1,-2.65,0.425
C#CC(C)N(C)C(=O)Nc1ccc(Cl)cc1,-3.89918,1
C#CC(C)OC(=O)Nc1cccc(Cl)c1,-2.61793,1
C#CC(O)CCC,-0.412,0.425
C#CC(OC(=O)C1C(C=C(C)C)C1(C)C)/C(C)=C/CC,-6.39,0.425
C#CC1(O)CCC2C3CCC4=CC(=O)CCC4(C)C3CCC21C,-5.6676,1
C#CC1(O)CCC2C3CCC4=CC(=O)CCC4(O)C3CCC21C,-4.57,0.875
C#CC1(O)CCC2C3CCC4=CC(=O)CCC4C3CCC21C,-4.59815,1
C#CC1(O)CCC2C3CCC4=CC(=O)CCC4C3CCC21CC,-5.26,0.425
C#CC1(O)CCC2C3CCC4=Cc5oncc5CC4(C)C3CCC21C,-5.50846,0.875
C#CC1(O)CCC2C3CCc4cc(O)ccc4C3CCC21C,-4.35123,1
C#CC1(OC(C)=O)CCC2C3CCC4=CC(=O)CCC4C3CCC21C,-4.79082,1
C#CC1(OC(N)=O)CCCCC1,-1.8273,0.925
C#CC=C,-1.46216,0.925
C#CCBr,-0.902,0.425
C#CCC,-1.25891,1
C#CCC1=C(C)C(OC(=O)C2C(C=C(C)C)C2(C)C)CC1=O,-4.57,0.425
C#CCCC,-1.63918,1
C#CCCCC,-2.33551,1
C#CCCCCC,-3.01,1
C#CCCCCCC,-3.66055,1
C#CCCCCCC#C,-2.98162,0.925
C#CCCCCCCC,-4.2,1
C#CCN1C(=O)COc2cc(F)c(N3C(=O)C4=C(CCCC4)C3=O)cc21,-5.3,0.425
C#CCN1CC(=O)N(COC(=O)C2C(C=C(C)C)C2(C)C)C1=O,-3.53,0.425
C#CCO,1.25054,0.925
C#CCOC(=O)/C=C(C)/C=C/CC(C)CCCC(C)C,-4.72,0.425
C#CCOS(=O)OC1CCCCC1Oc1ccc(C(C)(C)C)cc1,-5.84784,0.925
C#CCOc1cc(-n2nc3n(c2=O)CCCC3)c(Cl)cc1Cl,-4.33,0.425
C#Cc1ccccc1,-2.35,0.925
C(=C/c1ccccc1)\CN1CCN(C(c2ccccc2)c2ccccc2)CC1,-2.69,0.425
C(=C/c1ccccc1)\c1ccccc1,-5.79,0.425
C/C(Cl)=C/Cl,-1.61,0.425
C/C=C(/C)C=O,-0.527,0.425
C/C=C(/CCCC)C(N)=O,-1.37,0.425
C/C=C(C(=C/C)/c1ccc(O)cc1)\c1ccc(O)cc1,-4.95,0.425
C/C=C(\C)C(=O)OC1CC(OC(C)=O)C2(C(=O)OC)COC3C2C12COC(O)(C(=O)OC)C2C(C)(C12OC1(C)C1CC2OC2OC=CC21O)C3O,-3.44,0.425
C/C=C(\C)C(=O)OC1CCC2(C)C3CCC4C5(O)CC(O)C6(O)C(CN7CC(C)CCC7C6(C)O)C5(O)CC42OC13O,-3.02,0.425
C/C=C(\CCCC)C(=O)NC(N)=O,-2.79,0.425
C/C=C/C,-1.99,0.425
C/C=C/C#N,-0.429,0.425
C/C=C/C(=O)Nc1ccc(O)cc1,-2.65,0.425
C/C=C/C(=O)OC1CC2OC3C=C(C)C(=O)CC3(C)C1(C)C21CO1,-2.92,0.425
C/C=C/C(C)O,0.0152,0.425
C/C=C/C(O)CC,-0.42,0.425
