smiles,logS,weight
BrC(Br)(Br)Br,-3.14,1
BrC(Br)Br,-1.808,1
BrC(Br)C(Br)Br,-2.732,1
BrC1CCCCC1,-2.294,1
BrCBr,-1.165,1
BrCCBr,-1.656,1
BrCCCBr,-2.075,1
Brc1cc(Br)c(Br)cc1Br,-6.993,1
Brc1cc(Br)cc(Br)c1,-5.6,1
Brc1ccc(-c2ccccc2)cc1,-5.553,1
Brc1ccc(Br)c(Br)c1,-4.498,1
Brc1ccc(Br)cc1,-4.072,1
Brc1ccc(I)cc1,-4.452,1
Brc1cccc(Br)c1,-3.543,1
Brc1cccc2ccccc12,-4.347,1
Brc1ccccc1,-2.547,1
Brc1ccccc1Br,-3.5,1
Brc1ccccn1,-0.881,1
C#CC(C)(C)NC(=O)c1cc(Cl)cc(Cl)c1,-4.232,1
C#CC(C)(C)O,1.075,1
C#CC(C)(O)CC,0.115,1
C#CC(C)N(C)C(=O)Nc1ccc(Cl)cc1,-3.897,1
C#CC(C)OC(=O)Nc1cccc(Cl)c1,-2.617,1
C#CC1(O)CCC2C3CCC4=CC(=O)CCC4(C)C3CCC21C,-5.658,1
C#CC1(O)CCC2C3CCC4=CC(=O)CCC4C3CCC21C,-4.627,1
C#CC1(O)CCC2C3CCc4cc(O)ccc4C3CCC21C,-4.419,1
C#CC1(OC(C)=O)CCC2C3CCC4=CC(=O)CCC4C3CCC21C,-4.784,1
C#CC1(OC(N)=O)CCCCC1,-1.825,1
C#CC=C,-1.464,1
C#CCC,-1.275,1
C#CCCC,-1.637,1
C#CCCCC,-2.277,1
C#CCCCC#C,-1.747,1
C#CCCCCC,-3.01,1
C#CCCCCCC,-3.662,1
C#CCCCCCC#C,-2.983,1
C#CCCCCCCC,-4.094,1
C#CCO,1.251,1
C#CCOS(=O)OC1CCCCC1Oc1ccc(C(C)(C)C)cc1,-5.846,1
C#Cc1ccccc1,-2.35,1
C(=Cc1ccccc1)c1ccccc1,-5.793,1
C1=CC=CCC=C1,-2.172,1
C1=CCC=CC1,-2.059,1
C1=CCCC1,-2.105,1
C1=CCCCC1,-2.586,1
C1=CCCCCC1,-3.163,1
C1=Cc2cccc3cccc1c23,-3.976,1
C1CCC2CCCCC2C1,-5.192,1
C1CCCC1,-2.653,1
C1CCCCC1,-3.185,1
C1CCCCCC1,-3.515,1
C1CCCCCCC1,-4.152,1
C1CCN2CC3CC(CN4CCCCC34)C2C1,-1.887,1
C1CCNC1,1.148,1
C1CCNCC1,1.07,1
C1CCOC1,1.142,1
C1CCOCC1,-0.031,1
C1CN2CCN1CC2,0.603,1
C1CNCCN1,1.065,1
C1CO1,1.356,1
C1COCCN1,1.06,1
C1COCCO1,1.055,1
C1COCO1,1.13,1
C1OC1C1CO1,1.065,1
C1OCOCO1,0.288,1
C=C(C(=O)O)c1ccccc1,-2.057,1
C=C(C)C,-2.329,1
C=C(C)C#N,-0.422,1
C=C(C)C(=C)C,-2.4,1
C=C(C)C(=O)O,0.014,1
C=C(C)C(=O)OC,-0.824,1
C=C(C)C(=O)OC(C)(C)C,-2.153,1
C=C(C)C(=O)OCC,-1.325,1
C=C(C)C(=O)OCC(C)C,-2.039,1
C=C(C)C(=O)OCCCC,-2.25,1
C=C(C)C(=O)OCCO,-0.114,1
C=C(C)C(=O)OCCOCCOCCOC(=O)C(=C)C,-1.901,1
C=C(C)C1CC=C(C)C(=O)C1,-2.063,1
C=C(C)C1CC=C(C)CC1,-4.094,1
C=C(C)C=O,-0.039,1
C=C(C)CC,-2.732,1
C=C(C)CCC,-3.033,1
C=C(C)CN(CC)c1c([N+](=O)[O-])cc(C(F)(F)F)cc1[N+](=O)[O-],-6.222,1
C=C(C)c1ccccc1,-3.008,1
C=C(CC(=O)O)C(=O)O,-0.229,1
C=C(CC(Cl)(Cl)Cl)c1ccccc1,-4.282,1
C=C(Cl)CCl,-1.713,1
C=C(Cl)CSC(=S)N(CC)CC,-3.35,1
C=C(Cl)Cl,-1.634,1
C=C(F)F,-0.706,1
C=C(c1ccccc1)c1ccccc1,-4.436,1
C=C1C=CC(=O)O1,-0.983,1
C=C1CC23CC1(O)CCC2C12C=CC(O)C(C)(C(=O)O1)C2C3C(=O)O,-1.841,1
C=C1CCOC1=O,0.184,1
C=CBr,-1.275,1
C=CC#N,0.147,1
C=CC(=C)C,-2.034,1
C=CC(=O)OC,-0.241,1
C=CC(=O)OCC,-0.824,1
C=CC(=O)OCC(C)C,-1.853,1
C=CC(=O)OCC(C)O,0.886,1
C=CC(=O)OCCCC,-1.807,1
C=CC(=O)OCCO,0.935,1
C=CC(=O)Oc1c(Br)cc(Cl)c2cccnc12,-4.717,1
C=CC(C)(O)CCC=C(C)C,-1.987,1
C=CC(C)C,-2.732,1
C=CC(N)=O,0.954,1
C=CC(O)CC,0.02,1
C=CC(O)CCC,-0.599,1
C=CC1CC=CCC1,-3.335,1
C=CC=C,-1.867,1
C=CC=O,0.578,1
C=CCBr,-1.5,1
C=CCC,-2.405,1
C=CCC(C)C,-3.244,1
C=CCC1(C(C)C)C(=O)NC(=O)NC1=O,-1.712,1
C=CCC1(C(C)CCC)C(=O)NC(=S)NC1=O,-3.458,1
C=CCC1(CC=C)C(=O)NC(=O)NC1=O,-2.061,1
C=CCC1(c2ccccc2)C(=O)NC(=O)NC1=O,-2.152,1
C=CCC=C,-2.087,1
C=CCCBr,-2.247,1
C=CCCC,-2.676,1
C=CCCC=C,-2.687,1
C=CCCCC,-3.226,1
C=CCCCC=C,-3.34,1
C=CCCCCC,-3.732,1
C=CCCCCCC,-4.437,1
C=CCCCCCCC,-5.052,1
C=CCCCCCCCCC(=O)O,-3.398,1
C=CCCCO,-0.179,1
C=CCCl,-1.884,1
C=CCN,1.243,1
C=CCN(CC=C)C(=O)C(Cl)Cl,-1.619,1
C=CCN(CC=C)C(=O)CCl,-0.945,1
C=CCN(CCC#N)c1cc(NC(C)=O)c(N=Nc2c(Br)cc([N+](=O)[O-])cc2[N+](=O)[O-])cc1OC,-8.9,1
C=CCN=C=S,-1.695,1
C=CCNC(N)=S,-0.294,1
C=CCNCC=C,-0.053,1
C=CCO,1.236,1
C=CCOC(=O)c1ccccc1C(=O)OCC=C,-3.131,1
C=CCOCC1CO1,0.092,1
C=CCOCC=C,-0.02,1
C=CCc1ccc(O)c(OC)c1,-1.562,1
C=CCc1ccc(OC)cc1,-2.92,1
C=CCl,-1.36,1
C=CF,-0.276,1
C=COC(C)=O,-0.634,1
C=COC=C,-1.261,1
C=COCC,-0.858,1
C=COCC(F)(F)F,-1.478,1
C=COCCCC,-1.524,1
C=Cc1ccc(C)cc1,-3.123,1
C=Cc1cccc(C)c1,-3.123,1
C=Cc1ccccc1,-2.526,1
CC#CCCCC,-2.771,1
CC#N,1.387,1
CC(=O)C(C)(C)C,-0.722,1
CC(=O)C(C)=O,0.366,1
CC(=O)C(C)C,-0.151,1
CC(=O)C1(O)CCC2C3CC(C)C4=CC(=O)C=CC4(C)C3(F)C(O)CC21C,-4.099,1
CC(=O)C1(O)CCC2C3CCC4=CC(=O)CCC4(C)C3CCC21C,-4.708,1
CC(=O)C1C(=O)C=C(C)OC1=O,-1.226,1
CC(=O)C1CCC2C3CC=C4CC(O)CCC4(C)C3CCC12C,-4.652,1
CC(=O)C1CCC2C3CCC4=CC(=O)CCC4(C)C3CCC12C,-4.553,1
CC(=O)C1CCOC1=O,0.193,1
CC(=O)C=C(C)C,-0.531,1
CC(=O)CC(C)=O,0.22,1
CC(=O)CC(C)C,-0.722,1
CC(=O)CC(c1ccccc1)c1c(O)c2ccccc2oc1=O,-4.259,1
CC(=O)CCC(C)C,-1.325,1
CC(=O)N(C)C,1.06,1
CC(=O)N(C)c1ccccc1,-0.951,1
CC(=O)NCC(=O)O,-0.649,1
CC(=O)NCc1c(I)c(NC(C)=O)c(I)c(C(=O)O)c1I,-2.321,1
CC(=O)NS(=O)(=O)c1ccc(N)cc1,-1.234,1
CC(=O)Nc1cc(NS(=O)(=O)C(F)(F)F)c(C)cc1C,-3.237,1
CC(=O)Nc1ccc(N=Nc2cc(C)ccc2O)cc1,-5.358,1
CC(=O)Nc1ccc(O)cc1,-1.033,1
CC(=O)Nc1ccc(OC(=O)c2ccccc2OC(C)=O)cc1,-4.195,1
CC(=O)Nc1ccc(OC(C)=O)cc1,-1.908,1
CC(=O)Nc1ccc(S(N)(=O)=O)cc1,-1.607,1
CC(=O)Nc1ccc2c(c1)Cc1ccccc1-2,-4.625,1
CC(=O)Nc1cccc(C)c1,-2.091,1
CC(=O)Nc1ccccc1,-1.29,1
CC(=O)Nc1ccccc1Cl,-1.4,1
CC(=O)Nc1ccccc1O,-2.235,1
CC(=O)Nc1ccccc1[N+](=O)[O-],-1.909,1
CC(=O)Nc1nnc(S(N)(=O)=O)s1,-2.356,1
CC(=O)O,1.221,1
CC(=O)OC(C)(C)C,-1.144,1
CC(=O)OC(C)=O,0.07,1
CC(=O)OC(C)C,-0.519,1
CC(=O)OC(C)CC(C)C,-2.045,1
CC(=O)OC1(C(C)=O)CCC2C3C=C(C)C4=CC(=O)CCC4(C)C3CCC21C,-5.284,1
CC(=O)OC1(C(C)=O)CCC2C3C=C(Cl)C4=CC(=O)C=CC4(C)C3CCC21C,-4.945,1
CC(=O)OCC(=O)C1(O)C(C)CC2C3CCC4=CC(=O)C=CC4(C)C3(F)C(O)CC21C,-4.9,1
CC(=O)OCC(=O)C1(O)C(OC(C)=O)CC2C3CCC4=CC(=O)C=CC4(C)C3(F)C(O)CC21C,-4.13,1
CC(=O)OCC(=O)C1(O)CCC2C3CCC4=CC(=O)C=CC4(C)C3C(O)CC21C,-4.369,1
CC(=O)OCC(=O)C1(O)CCC2C3CCC4=CC(=O)CCC4(C)C3C(=O)CC21C,-4.304,1
CC(=O)OCC(=O)C1(O)CCC2C3CCC4=CC(=O)CCC4(C)C3C(O)CC21C,-4.458,1
CC(=O)OCC(=O)C1CCC2C3CCC4=CC(=O)CCC4(C)C3CCC12C,-4.63,1
CC(=O)OCC(C)C,-1.266,1
CC(=O)OCC(COC(C)=O)OC(C)=O,-0.575,1
CC(=O)OCCBr,-0.674,1
CC(=O)OCCC(C)C,-1.814,1
CC(=O)OCCOC(C)=O,0.086,1
CC(=O)OCc1ccccc1,-1.685,1
CC(=O)Oc1c(C(C)(C)C)cc([N+](=O)[O-])c(C)c1[N+](=O)[O-],-4.472,1
CC(=O)Oc1ccc(Br)cc1C(=O)O,-2.589,1
