smiles,logS,dtype
CCCCCCCCCCCCCCCCCC[N+](C)(C)C.[Br-],-3.6161271205,G1
O=C1Nc2cccc3cccc1c23,-3.2547670983,G1
O=Cc1ccc(Cl)cc1,-2.1770779444,G1
CC(c1ccccc1)c1cc(C(=O)[O-])c(O)c(C(C)c2ccccc2)c1.CC(c1ccccc1)c1cc(C(=O)[O-])c(O)c(C(C)c2ccccc2)c1.[Zn+2],-3.9244090954,G1
c1cc(N(CC2CO2)CC2CO2)ccc1Cc1ccc(N(CC2CO2)CC2CO2)cc1,-4.6620645831,G1
C=Cc1cccc(C)c1,-3.1231503041,G1
CCC1CCC(CCC(=O)O)C1,-3.286116314,G1
CC12C=CC(=O)C=C1CCC1C2C(O)CC2(C)C1CC(O)C2(O)C(=O)CO,-2.6645485391,G1
O=C(c1ccc(F)cc1)c1ccc(F)cc1,-4.3966521847000015,G3
O=C(OCCCOCCCOC(=O)c1ccccc1)c1ccccc1,-4.595502563999999,G3
CN(C)c1ccc(C=O)cc1,-2.2827688499,G1
CC(=O)OC(C)(C)Cc1ccccc1,-2.3946499685,G1
Cc1cc(C)cc(O)c1.Cc1ccc(C)c(O)c1.Cc1ccc(O)c(C)c1.Cc1ccc(O)cc1C.Cc1cccc(C)c1O.Cc1cccc(O)c1C,-1.9803097957,G5
CC(C)(C)c1ccc(OCC2CO2)cc1,-3.4302388798,G1
COCCCCC(=O)c1ccc(C(F)(F)F)cc1,-3.5440597008,G1
CC(C)=CCC/C(C)=C\CO,-2.3206011661000003,G5
Cc1cc(Cl)ccc1OC(C)C(=O)O,-2.4660307863,G5
CCCCC(CC)COP(=S)([S-])OCC(C)C.CCCCC(CC)COP(=S)([S-])OCC(C)C.[Zn+2],-2.9581950472000003,G1
FC(F)(F)c1cccc(Cl)c1,-3.4115138849,G1
CCC(C)(CCC(C)C)C(=O)OCC1CO1,-3.5134687407,G1
CC(C)CCCCCOC(=O)CCS,-4.4543816995,G1
CC1=CCC(=C(C)C)CC1,-4.2873429345,G5
O=[Si]([O-])[O-].O=[Si]([O-])[O-].[Al+3].[Na+],-3.4731390517,G1
C=C(C)C(=O)[O-].[Zn+2],-2.3632080977000003,G1
CCNCC(O)c1cccc(O)c1,-3.4541026398000003,G1
CCC(C)OP(=S)([S-])OC(C)CC(C)C.CCC(C)OP(=S)([S-])OC(C)CC(C)C.[Zn+2],-2.9908768679000004,G1
ClCc1ccc(Cl)cc1Cl,-3.5129421932,G1
C=C1CCC2CC1C2(C)C,-4.2923134549,G4
CCCCCCCC/C=C\CCCCCCCC(=O)O.NCCNCCO,-4.8091341894,G5
CCCCCCCCCCCCOC(=O)C(C)O,-4.6341446203,G3
C=CC(=O)OCCOc1ccccc1,-2.5636257131,G3
CCCC[N+](CCCC)(CCCC)Cc1ccccc1.O=S(=O)([O-])c1ccc(O)c2ccccc12,-2.6418192727000003,G1
C=CCCCCCCCCC(=O)O,-3.5528261452,G5
C[N+](C)(CCCNS(=O)(=O)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)CC(=O)[O-],-4.0571851475,G1
CCC(Cc1ccccc1)(C(=O)c1ccc(N2CCOCC2)cc1)N(C)C,-4.7932278922,G1
CC(C)CCCCCCc1ccc(O)cc1,-4.587250024599999,G1
C=C(C)c1cccc(C(=C)C)c1,-4.4511392252,G1
C=COC(=O)CCCCCC(C)(C)C,-4.581332510899999,G1
Cc1ccc(C(C)(C)C)cc1,-4.4720217682,G3
O=C(O)C1CCCCC1,-1.445031941,G3
O=C1/C(=N/Nc2ccc3c(S(=O)(=O)[O-])cccc3c2S(=O)(=O)[O-])C(S(=O)(=O)[O-])=Cc2cc(S(=O)(=O)[O-])cc(Nc3nc(Cl)nc(Nc4cccc(S(=O)(=O)CCOS(=O)(=O)[O-])c4)n3)c21.[Na+].[Na+].[Na+].[Na+].[Na+],-0.4108977358,G1
C(/C=C/c1ccccc1)=NCCCCCCN=C/C=C/c1ccccc1,-3.8937390711,G1
CC(C)(C)CC(C)(C)c1cc(Cc2cc(C(C)(C)CC(C)(C)C)cc(-n3nc4ccccc4n3)c2O)c(O)c(-n2nc3ccccc3n2)c1,-7.973715535399999,G4
CCN(CC[N+](C)(C)C)c1ccc(N=Nc2ccc([N+](=O)[O-])cc2Cl)cc1.[Cl-],-3.0386996230000003,G1
c1ccc2sc(SN3CCOCC3)nc2c1,-3.8109627954,G1
CC1(C)[C@H]2C[C@@H]3O[C@]3(C)[C@@H]1C2,-2.5936884915,G1
NC(=O)Nc1cc(Nc2nc(Cl)nc(Nc3cccc(S(=O)(=O)CCOS(=O)(=O)[O-])c3)n2)ccc1N=Nc1cc2c(S(=O)(=O)[O-])cc(S(=O)(=O)[O-])cc2cc1S(=O)(=O)[O-].[Na+].[Na+].[Na+].[Na+],-0.4261364852,G1
CCCCCCCCCCCCNc1nc(Cl)nc(Nc2ccc3c(O)c(N=Nc4ccc(N=Nc5ccc(S(=O)(=O)[O-])cc5)cc4)c(S(=O)(=O)[O-])cc3c2)n1.[Na+].[Na+],-3.358911212,G1
CCCN(CCC)C(=O)SCC,-2.7031744039,G3
C1CC(COCC2CO2)CCC1COCC1CO1,-1.8357972344,G1
Cc1cc(CC(C)CC(C)(C)C)n(O)c(=O)c1.NCCO,-3.9054642035,G5
O=P([O-])([O-])[O-].O=P([O-])([O-])[O-].O=P([O-])([O-])[O-].[Ca+2].[Ca+2].[Ca+2].[Ca+2].[Ca+2].[OH-],-4.1419008964,G2
O=[p+]1oc2ccccc2c2ccccc21,-1.7796231349,G1
C=COC(=O)c1ccccc1,-2.6229591952,G1
COC(=O)c1ccc(C(C)(C)C)cc1,-3.7398163758,G1
Cc1cccc(CC(C)(C)CO)c1,-2.8265354685000004,G1
CC(=O)OC/C=C(/C)CCC=C(C)C,-3.7549532157,G1
CC1(C)[C@H]2CC=C(CCO)[C@@H]1C2,-2.6959998037,G1
CC1CC(=O)CC(C)(C)C1,-1.6471414632,G1
C=CC(=O)OCCOc1ccccc1-c1ccccc1,-3.9515188418,G1
O=C(CCS)OCC(COC(=O)CCS)(COC(=O)CCS)COC(=O)CCS,-5.1231687481,G5
Cc1cc(C(C)(C)c2cc(C)c(O)c(C)c2)cc(C)c1O,-4.952868802799999,G1
CCCCCCCCCCCCCCCCCC(=O)OCC(COC(=O)CCCCCCCCCCCCCCCCC)OC(=O)CCCCCCCCCCCCCCCCC,-5.4730005799,G1
CCOC(=O)CC(C)CC(C)(C)C,-3.8230431676,G5
O=[Si]([O-])[O-].[Ca+2],-2.6500869941,G2
CCc1ccc(C)nc1,-1.0042604536,G1
CC(C)[C@@H]1CC[C@@H](C)C[C@H]1OC(=O)[C@H](C)O,-2.9799872046,G1
