smiles,logS
CC(N)=O,1.58
CNN,1.34
CC(O)=O,1.22
C1CCCN1,1.15
NC([NH]O)=O,1.12
OC(CO)CO,1.12
CC(N(C)C)=O,1.11
c1cccnn1,1.1
c1ccncn1,1.1
OC(CO)C(O)C(O)C(O)CO,1.09
CC(N)CC(O)=O,1.08
C1CNCCN1,1.07
C1CCCCN1,1.07
Oc1ccncc1,1.02
Oc1ncccc1,1.02
OC(CCCC(O)=O)=O,1.0
CN1CCOCC1,1.0
NC(OC)=O,0.97
O=C(C=CC=C1)N1C,0.96
OC(CCl)=O,0.93
NC(OCC)=O,0.85
O=C(C1=CCCN(C)C1)OC,0.81
Oc1cc(O)ccc1,0.81
c1cnccc1,0.76
CC1CNCCN1,0.74
O1CC(O)C(O)C(O)C1(O)CO,0.64
Oc1c(O)cccc1,0.62
NC(c1cccnc1)=O,0.61
O=C1NC=NC=C1,0.59
CCC=O,0.58
C(OC)=O,0.58
C=CC=O,0.57
C1CCOC1,0.56
CC(CC)=O,0.52
CC1NCC(C)NC1,0.49
COCOC,0.48
Cc1nc(C)ccc1,0.45
Cc1ccc(C)nc1,0.4
OC1COC(O)C(O)C1O,0.39
Cc1cc(C)ncc1,0.38
Cc(cccn1)c1C,0.38
O=C1N(CC3CNCC2C3)C2=CC=C1,0.36
OC1C(O)C(O)C(O)C(O)C1O,0.35
CC=CC=O,0.32
CCC(C(O)=O)N,0.31
O=C(CC1)NC1=O,0.3
CC(C)C(O)=O,0.28
CN1CCCCC1,0.23
CC(CC(C)=O)=O,0.22
C(OCC)=O,0.15
C=CC#N,0.15
CC1CCCO1,0.11
CC(C)(C)OC(N)=O,0.1
CCC(C)(O)C,0.08
NNc1ccccc1,0.07
CC(C)CO,0.04
O=S(CC)(CC)=O,0.04
c12nccnc1ncnc2,0.02
O=C(c1ccncc1)NN,0.01
Oc1ccccc1,0.0
CCCC=O,-0.01
CN1C2CCC1C(C(O)=O)C(O)C2,-0.02
C1CCOCC1,-0.03
CCC1NC(=O)NC1(=O),-0.06
Cc1cc(O)no1,-0.07
NC(C(O)=O)C(O)C,-0.09
CCOCC,-0.09
C(c1ccco1)=O,-0.1
Cc1nc(nccn2)c2cn1,-0.12
NC(C(O)=O)C(C)(S)C,-0.13
CCN(CC)CC,-0.14
c1ccc[nH]1,-0.17
OC1C(O)C(O)CC(O)C1O,-0.17
OC(CO)Cn(cn1)c(C(N2C)=O)c1N(C2=O)C,-0.17
O=NN1CCCCC1,-0.17
CC(CCC)=O,-0.19
OC(CCC)=O,-0.19
CN(NC(CCC(O)=O)=O)C,-0.2
OC(CCC(O)=O)=O,-0.2
CC(C)C(O)C,-0.2
O=C(OC)C=C,-0.22
CCC(O)CC,-0.24
O=C(C(C2OC1CC2)C1C(O)=O)O,-0.27
CC(O)CCC,-0.29
OC(=O)CC(C)(C(=O)O)C(C)(C)C(=O)O,-0.29
ClCCC#N,-0.29
Oc1c(CO)cccc1,-0.29
NC(OCC(C)C)=O,-0.3
NC(=NC(#N))N,-0.31
CC(CC)(O)CC,-0.38
Nc1ccc(N)cc1,-0.38
COCCC,-0.39
OCC(C)C(C)C,-0.39
OCc1ccccc1,-0.4
OC(C(N)CCSC)=O,-0.42
Nc(cccc1)c1N,-0.42
