smiles,logS
CC(N)=O,1.58
CNN,1.34
CC(=O)O,1.22
C1CCNC1,1.15
NC(=O)NO,1.12
OCC(O)CO,1.12
CC(=O)N(C)C,1.11
c1ccnnc1,1.1
c1cncnc1,1.1
OCC(O)C(O)C(O)C(O)CO,1.09
CC(N)CC(=O)O,1.08
C1CNCCN1,1.07
C1CCNCC1,1.07
Oc1ccncc1,1.02
Oc1ccccn1,1.02
O=C(O)CCCC(=O)O,1.0
CN1CCOCC1,1.0
COC(N)=O,0.97
Cn1ccccc1=O,0.96
O=C(O)CCl,0.93
CCOC(N)=O,0.85
COC(=O)C1=CCCN(C)C1,0.81
Oc1cccc(O)c1,0.81
c1ccncc1,0.76
CC1CNCCN1,0.74
OCC1(O)OCC(O)C(O)C1O,0.64
Oc1ccccc1O,0.62
NC(=O)c1cccnc1,0.61
O=c1ccnc[nH]1,0.59
CCC=O,0.58
COC=O,0.58
C=CC=O,0.57
C1CCOC1,0.56
CCC(C)=O,0.52
CC1CNC(C)CN1,0.49
COCOC,0.48
Cc1cccc(C)n1,0.45
Cc1ccc(C)nc1,0.4
OC1COC(O)C(O)C1O,0.39
Cc1ccnc(C)c1,0.38
Cc1cccnc1C,0.38
O=c1cccc2n1CC1CNCC2C1,0.36
OC1C(O)C(O)C(O)C(O)C1O,0.35
CC=CC=O,0.32
CCC(N)C(=O)O,0.31
O=C1CCC(=O)N1,0.3
CC(C)C(=O)O,0.28
CN1CCCCC1,0.23
CC(=O)CC(C)=O,0.22
CCOC=O,0.15
C=CC#N,0.15
CC1CCCO1,0.11
CC(C)(C)OC(N)=O,0.1
CCC(C)(C)O,0.08
NNc1ccccc1,0.07
CC(C)CO,0.04
CCS(=O)(=O)CC,0.04
c1cnc2ncncc2n1,0.02
NNC(=O)c1ccncc1,0.01
Oc1ccccc1,0.0
CCCC=O,-0.01
CN1C2CCC1C(C(=O)O)C(O)C2,-0.02
C1CCOCC1,-0.03
CCC1NC(=O)NC1=O,-0.06
Cc1cc(O)no1,-0.07
CC(O)C(N)C(=O)O,-0.09
CCOCC,-0.09
O=Cc1ccco1,-0.1
Cc1ncc2nccnc2n1,-0.12
CC(C)(S)C(N)C(=O)O,-0.13
CCN(CC)CC,-0.14
c1cc[nH]c1,-0.17
OC1CC(O)C(O)C(O)C1O,-0.17
Cn1c(=O)c2c(ncn2CC(O)CO)n(C)c1=O,-0.17
O=NN1CCCCC1,-0.17
CCCC(C)=O,-0.19
CCCC(=O)O,-0.19
CN(C)NC(=O)CCC(=O)O,-0.2
O=C(O)CCC(=O)O,-0.2
CC(C)C(C)O,-0.2
C=CC(=O)OC,-0.22
CCC(O)CC,-0.24
O=C(O)C1C2CCC(O2)C1C(=O)O,-0.27
CCCC(C)O,-0.29
CC(C)(C(=O)O)C(C)(CC(=O)O)C(=O)O,-0.29
N#CCCCl,-0.29
OCc1ccccc1O,-0.29
CC(C)COC(N)=O,-0.3
N#CN=C(N)N,-0.31
CCC(C)(O)CC,-0.38
Nc1ccc(N)cc1,-0.38
CCCOC,-0.39
CC(C)C(C)CO,-0.39
OCc1ccccc1,-0.4
CSCCC(N)C(=O)O,-0.42
Nc1ccccc1N,-0.42
CNC(C)C(O)c1ccccc1,-0.42
