smiles,logS
COc1ccc(C(=O)OC[C@H]2O[C@@H](n3cnc4c(OC)ncnc43)[C@@H](OC(=O)c3ccc(OC)cc3)[C@@H]2OC(=O)c2ccc(OC)cc2)cc1,-5.301029995663981
CNS(=O)(=O)c1ccc(Oc2cc(OC(C)C)cc(-c3nccc(=O)[nH]3)c2)cc1,-3.931814138253838
CC(C)(O)CC1CCN(C(=O)c2cc3ccccc3[nH]2)CC1,-3.999999999999999
N#Cc1cc(NC(=O)Nc2nnc(-c3ccncc3)s2)ccc1-c1cn[nH]c1,-5.0
CNCC(O)COc1ccc(Cl)c2c1C1(CCCCC1)NC(=O)N2,-2.8498491956052576
CCN(CC)Cc1cc(Nc2ccnc3cc(Cl)ccc23)ccc1O.Cl.Cl.Cl,-3.6989700043360187
CN[C@@H](CC(C)C)C(=O)N[C@H]1CC[C@@H]2CN(c3cccc(C(F)(F)F)c3)C[C@@H]21,-4.251811972993799
NCCOCCOc1ccc(Cl)c2c1C1(CCCCC1)NC(=O)N2,-2.8498491956052576
NCCOc1ccc(Cl)c2c1C1(CCCCC1)NC(=O)N2,-2.792107203503714
O=C(N[C@@H]1CC[C@H]2CN(Cc3cccc(C(F)(F)F)c3)C[C@H]21)C(C1CCCCC1)C1CCCCC1,-5.522878745280337
CN(Cc1ccccc1)C(=O)[C@H](Cc1ccccc1)NC(=O)[C@@H](Cc1cn(C(=O)CCC(=O)O)c2ccccc12)NC(=O)C[C@@H]1NC(=O)[C@@H]2C3CCC(CC3)N2C1=O,-1.2438105432963806
CN(C(=O)CCc1ccccc1)c1ccc2cc(C(=O)NO)sc2c1,-4.947471708738493
C[C@]1(CS(=O)(=O)N2CCC(Oc3ccc(OC(F)(F)C(F)F)cc3)CC2)NC(=O)NC1=O,-4.826813731587725
C[C@@H](O)c1nc2cnc3[nH]ccc3c2n1[C@H]1CC[C@H](CC#N)CC1,-3.886056647693163
Cc1csc(NC(=O)NC2C3CC4CC(C3)CC2C4)n1,-5.288428094800998
O=C(Nc1ccc(F)c(F)c1F)NC1C2CC3CC(C2)CC1C3,-6.511008546358616
C[C@]1(CS(=O)(=O)N2CCN(c3ncc(OCc4ccc(F)cc4)cn3)CC2)NC(=O)NC1=O,-4.795880017344074
C[C@@H](O)c1nc2cnc3[nH]ccc3c2n1[C@H]1CCCOC1,-2.397940008672037
Cc1cc(/C(C[C@@H](c2ccc(N3CCC(C(=O)O)CC3)cc2)c2ccccc2C)=N/O)ccn1,-3.298733503243495
Cc1cc(/C(C[C@H](c2ccc(N3CCC(C(=O)O)CC3)cc2)c2ccccc2C)=N/O)ccn1,-3.229097575102101
C[C@]1(CS(=O)(=O)N2CCN(c3ncc(OCc4cnc(C#N)s4)cn3)CC2)NC(=O)NC1=O,-4.853871964321761
O=C(Nc1nc2ccccc2s1)NC12CC3CC(CC(C3)C1)C2,-5.8161789692881
Cc1ccc(NC(=O)NC2CCCCCC2)cc1Cl,-6.448395556822243
O=C(N[C@H]1CC[C@H]2CN(Cc3cccc(C(F)(F)F)c3)C[C@@H]12)C(C1CCCCC1)C1CCCCC1,-5.522878745280337
O=C(CN1CCN(CCO)CC1)Nc1ccc(-c2cccc3c(=O)cc(N4CCOCC4)oc23)c2sc3ccccc3c12,-3.812479279163536
C[C@H](Nc1nccc(-c2c(-c3ccc(F)cc3)c(=O)n(C3CCNCC3)n2C)n1)c1ccccc1.O=C(O)C(F)(F)F,-2.9554212983504033
CC(C)C(NC(=O)Cn1cccc(NC(=O)OCc2ccccc2)c1=O)C(=O)C(F)(F)F,-3.6151051139754244
COc1ncnc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@@H]1O,-1.3027706572402824
CC(C)Oc1c(Br)c(Br)n(C)c1C(=O)Nc1nn[nH]n1,-2.3319640384855695
CC(C)(C)c1cc(NC(=O)Nc2cccc(Cl)c2Cl)n(-c2cccc(F)c2)n1,-4.394145630268884
C[C@H](Nc1nccc(-c2c(-c3ccc(F)cc3)c(=O)n(C)n2C)n1)c1ccccc1,-3.5158964491716347
Cc1c(-c2ccccc2)c(N2CC[C@H](N(C)C)C2)n2nc(C(C)(C)COCc3ccccc3)nc2c1C#N,-5.2293148701366725
COC(=O)C1=C(C)NC(C)=C(C#N)C1c1ccc(F)cc1Cl,-5.0
Cn1ncc2c(Nc3ccc(S(C)(=O)=O)cc3)nc(-c3cccc4[nH]ncc34)nc21,-4.7714425573268135
Cc1cnc2c(C(F)(F)F)cccc2c1-c1cccc(Oc2cccc(S(C)(=O)=O)c2)c1,-5.660365467152113
CN1CCc2nc(C(=O)N[C@@H]3C[C@@H](C(=O)N(C)C)CC[C@@H]3NC(=O)c3cc4cc(Cl)ncc4[nH]3)sc2C1,-2.854849967774658
CN1CCc2nc(C(=O)N[C@@H]3C[C@@H](C(=O)N(C)C)CC[C@@H]3NC(=O)c3cc4cc(F)ccc4[nH]3)sc2C1,-3.2591141948788738
Cc1[nH]c2ccc(Cl)cc2c(=O)c1Cc1ccccc1,-5.698970004336018
Cc1[nH]c2ccc(Cl)c(Cl)c2c(=O)c1-c1ccccc1,-5.698970004336018
COC(=O)C(=C(/C)c1cc(OC)cc(OC)c1)/C(=C\c1ccccc1)C(=O)NCc1cccnc1.Cl,-2.5025995061390995
CCN1CCC(c2cc(Cl)cc(-c3nnc(CC(=O)N4CCC(n5c(=O)[nH]c6ncccc65)CC4)o3)c2)CC1,-2.9883639852847437
CN[C@@H](CC(C)C)C(=O)N[C@@H]1CC[C@H]2CN(S(=O)(=O)c3ccc(C(F)(F)F)cc3)C[C@H]21,-4.568636235841012
