smiles,logS
BrC1=C2C=CC=CC2=CC=C1,-4.35
BrC1=C(Br)C(Br)=C(Br)C(Br)=C1Br,-9.54
BrC1=C(Br)C=CC=C1,-3.5
BrC1=CC2=C(C=C1Br)C1=C(O2)C=C(Br)C(Br)=C1,-6.84
BrC1=CC2=C(C=CC=C2)C=C1,-4.4
BrC1=CC2=C(C=CC=C2)C=C1,-4.4
BrC1=CC2=C(C=CC=C2)C=C1,-4.4
BrC1=CC(Br)=C(Br)C=C1,-4.5
BrC1=CC(Br)=C(Br)C=C1,-4.65
BrC1=CC(Br)=C(Br)C=C1Br,-6.98
BrC1=CC(Br)=C(Br)C=C1Br,-6.99
BrC1=CC(Br)=CC(Br)=C1,-5.6
BrC1=CC(Br)=CC(Br)=C1,-5.6
BrC1=CC(Br)=CC=C1,-3.54
BrC1=CC(Br)=C(OCCOC2=C(Br)C=C(Br)C=C2Br)C(Br)=C1,-6.54
BrC1=CC=C2COC(=O)C2=C1,-2.65
BrC1=CC=C2NC3=CC=CC=C3SC2=C1,-6.11
BrC1=CC=C(Br)C(Br)=C1,-4.5
BrC1=CC=C(Br)C(Br)=C1,-4.5
BrC1CCC(Br)C(Br)CCC(Br)C(Br)CCC1Br,-7.87
BrC1=CC=C(Br)C=C1,-4.07
BrC1=CC=C(Br)C=C1,-4.07
BrC1=CC=C(Br)C(=C1)C1=CC(Br)=C(Br)C=C1Br,-9.73
BrC1=CC=CC2=C1C=CC=C2,-4.35
BrC1=CC=CC2=C1C=CC=C2,-4.35
BrC1=CC=CC2=C1C=CC=C2,-4.35
BrC1=CC=CC(Br)=C1Br,-5.04
BrC1=CC=CC(Br)=C1Br,-5.04
BrC1=CC=CC(Br)=C1Br,-5.04
BrC1CCCCC1,-2.29
BrC1=CC=CC=C1,-2.55
BrC1=CC=CC=C1,-2.55
BrC1CCCCC1,-2.3
BrC1=CC=CC=C1Br,-3.5
BrC1=CC=CC=C1Br,-3.5
BrC1=CC=C(C=C1)C1=CC=CC=C1,-5.55
BrC1=CC=C(I)C=C1,-4.51
BrC1=CC=C(I)C=C1,-4.56
BrC1=CC(=O)OC2=CC=CC=C12,-1.65
BrC1=CNC(=O)NC1=O,-2.37
BrC1=[NH0]C=CC=C1,-0.8809999999999999
BrCBr,-1.17
BrCBr,-1.16
BrC(Br)Br,-1.91
BrC(Br)Br,-1.91
BrC(Br)Br,-1.91
BrC(Br)Br,-1.86
BrC(Br)(Br)Br,-3.14
BrC(Br)(Br)Br,-3.14
BrC(Br)(Br)Br,-3.14
BrC(Br)(Br)Br,-3.14
BrC(Br)C(Br)Br,-2.72
BrCCBr,-1.68
BrCCBr,-1.68
BrCCBr,-1.66
BrCCBr,-1.68
Br\C=C\Br,-1.32
Br\C=C/Br,-1.32
BrCC(Br)Br,-2.73
BrCC(Br)COP(=O)(OCC(Br)CBr)OCC(Br)CBr,-4.94
Br\C=C/Br,-1.46
BrCC=C,-1.5
BrCC#C,-0.902
BrCCC1=CC=CC=C1,-3.68
BrCC=C,-1.5
BrCCCBr,-2.08
BrCC(CBr)(CBr)CBr,-5.38
BrCCC=C,-2.25
BrCCCCBr,-2.79
BrN1C(=O)CCC1=O,-1.08
C1C2=C3C4=C1C=CC=C4C=CC3=CC=C2,-5.24
C1C2=CC=CC=C2C2=C1C1=C(C=CC=C1)C=C2,-6.68
C1C2=CC=CC=C2C2=C1C1=C(C=CC=C1)C=C2,-6.68
C1C2=C(C=CC=C2)C2=C1C1=C(C=CC=C1)C=C2,-6.68
C1C2=C(C=CC=C2)C2=C1C1=CC=CC=C1C=C2,-6.68
C1C2=C(C=CC=C2)C2=C1C=C1C=CC=CC1=C2,-8.04
C1C2=CC=CC=C2C2=C1C=C1C=CC=CC1=C2,-7.96
C1C2=C(C=CC=C2)C2=C1C=CC=C2,-4.91
C1C2=CC=CC=C2C2=C1C=CC=C2,-4.91
C1C2=CC=CC=C2C2=C1C=CC=C2,-4.91
C1C2=CC=CC=C2C2=CC=CC=C12,-4.94
C1=CC2=C3C1=CC=CC3=CC=C2,-3.98
C1=CC2=C3C4=C5C(C=CC6=C5C5=C(C=C6)C=CC(C=C2)=C35)=CC=C14,-9.33
C1=CC2=C3C(=C1)C1=C4C(C=CC5=C4C3=C(C=C2)C=C5)=CC=C1,-9.03
C1CC2=C3C=CC4=C(C=CC=C4)C3=CC3=C2C1=CC=C3,-7.85
