smiles,logS,dtype
Brc1cccc2ccccc12,-4.35,Training
Brc1c(Br)c(Br)c(Br)c(Br)c1Br,-9.54,Training
Brc1ccccc1Br,-3.5,Training
Brc1cc2oc3cc(Br)c(Br)cc3c2cc1Br,-6.84,Training
Brc1ccc2ccccc2c1,-4.4,Training
Brc1ccc2ccccc2c1,-4.4,Training
Brc1ccc2ccccc2c1,-4.4,Training
Brc1ccc(Br)c(Br)c1,-4.5,Training
Brc1ccc(Br)c(Br)c1,-4.65,Training
Brc1cc(Br)c(Br)cc1Br,-6.98,Training
Brc1cc(Br)c(Br)cc1Br,-6.99,Training
Brc1cc(Br)cc(Br)c1,-5.6,Training
Brc1cc(Br)cc(Br)c1,-5.6,Training
Brc1cccc(Br)c1,-3.54,Training
Brc1cc(Br)c(OCCOc2c(Br)cc(Br)cc2Br)c(Br)c1,-6.54,Training
O=C1OCc2ccc(Br)cc21,-2.65,Training
Brc1ccc2c(c1)Sc1ccccc1N2,-6.11,Training
Brc1ccc(Br)c(Br)c1,-4.5,Training
Brc1ccc(Br)c(Br)c1,-4.5,Training
BrC1CCC(Br)C(Br)CCC(Br)C(Br)CCC1Br,-7.87,Training
Brc1ccc(Br)cc1,-4.07,Training
Brc1ccc(Br)cc1,-4.07,Training
Brc1ccc(Br)c(-c2cc(Br)c(Br)cc2Br)c1,-9.73,Training
Brc1cccc2ccccc12,-4.35,Training
Brc1cccc2ccccc12,-4.35,Training
Brc1cccc2ccccc12,-4.35,Training
Brc1cccc(Br)c1Br,-5.04,Training
Brc1cccc(Br)c1Br,-5.04,Training
Brc1cccc(Br)c1Br,-5.04,Training
BrC1CCCCC1,-2.29,Training
Brc1ccccc1,-2.55,Training
Brc1ccccc1,-2.55,Training
BrC1CCCCC1,-2.3,Training
Brc1ccccc1Br,-3.5,Training
Brc1ccccc1Br,-3.5,Training
Brc1ccc(-c2ccccc2)cc1,-5.55,Training
Brc1ccc(I)cc1,-4.51,Training
Brc1ccc(I)cc1,-4.56,Training
O=c1cc(Br)c2ccccc2o1,-1.65,Training
O=c1[nH]cc(Br)c(=O)[nH]1,-2.37,Training
Brc1ccccn1,-0.8809999999999999,Training
BrCBr,-1.17,Training
BrCBr,-1.16,Training
BrC(Br)Br,-1.91,Training
BrC(Br)Br,-1.91,Training
BrC(Br)Br,-1.91,Training
BrC(Br)Br,-1.86,Training
BrC(Br)(Br)Br,-3.14,Training
BrC(Br)(Br)Br,-3.14,Training
BrC(Br)(Br)Br,-3.14,Training
BrC(Br)(Br)Br,-3.14,Training
BrC(Br)C(Br)Br,-2.72,Training
BrCCBr,-1.68,Training
BrCCBr,-1.68,Training
BrCCBr,-1.66,Training
BrCCBr,-1.68,Training
Br/C=C/Br,-1.32,Training
Br/C=C\Br,-1.32,Training
BrCC(Br)Br,-2.73,Training
O=P(OCC(Br)CBr)(OCC(Br)CBr)OCC(Br)CBr,-4.94,Training
Br/C=C\Br,-1.46,Training
C=CCBr,-1.5,Training
C#CCBr,-0.902,Training
BrCCc1ccccc1,-3.68,Training
C=CCBr,-1.5,Training
BrCCCBr,-2.08,Training
BrCC(CBr)(CBr)CBr,-5.38,Training
C=CCCBr,-2.25,Training
BrCCCCBr,-2.79,Training
O=C1CCC(=O)N1Br,-1.08,Training
c1cc2c3c(c1)ccc1cccc(c13)C2,-5.24,Training
c1ccc2c(c1)Cc1c-2ccc2ccccc12,-6.68,Training
c1ccc2c(c1)Cc1c-2ccc2ccccc12,-6.68,Training
c1ccc2c(c1)Cc1c-2ccc2ccccc12,-6.68,Training
c1ccc2c(c1)Cc1c-2ccc2ccccc12,-6.68,Training
c1ccc2c(c1)Cc1cc3ccccc3cc1-2,-8.04,Training
c1ccc2c(c1)Cc1cc3ccccc3cc1-2,-7.96,Training
c1ccc2c(c1)Cc1ccccc1-2,-4.91,Training
c1ccc2c(c1)Cc1ccccc1-2,-4.91,Training
c1ccc2c(c1)Cc1ccccc1-2,-4.91,Training
c1ccc2c(c1)Cc1ccccc1-2,-4.94,Training
C1=Cc2cccc3cccc1c23,-3.98,Training
c1cc2ccc3ccc4ccc5ccc6ccc1c1c2c3c4c5c61,-9.33,Training
c1cc2ccc3ccc4ccc5cccc6c(c1)c2c3c4c56,-9.03,Training
c1cc2c3c(c4ccc5ccccc5c4cc3c1)CC2,-7.85,Training
c1cc2ccc3cccc4ccc(c1)c2c34,-6.19,Training
c1cc2ccc3cccc4ccc(c1)c2c34,-6.19,Training
c1cc2cccc3c4cccc5cccc(c(c1)c23)c54,-8.8,Training
c1ccc2c(c1)CCC2,-3.04,Training
c1ccc2c(c1)cc1ccc3cccc4ccc2c1c34,-8.19,Training
c1ccc2c(c1)cc1ccc3cccc4ccc2c1c34,-8.19,Training
c1ccc2cc3cc4ccccc4cc3cc2c1,-8.6,Training
c1ccc2cc3c(cc2c1)-c1cccc2cccc-3c12,-8.5,Training
c1ccc2cc3c(cc2c1)-c1cccc2cccc-3c12,-8.49,Training
c1ccc2cc3ccccc3cc2c1,-6.35,Training
c1ccc2cc3ccccc3cc2c1,-6.35,Training
c1ccc2cc3ccccc3cc2c1,-6.35,Training
c1ccc2nc3ccccc3cc2c1,-3.67,Training
c1ccc2nc3ccccc3cc2c1,-3.67,Training
c1ccc2c(c1)-c1cccc3c1c-2cc1ccccc13,-8.23,Training
c1ccc2c(c1)-c1cccc3c1c-2cc1ccccc13,-8.23,Training
c1ccc2c(c1)-c1cccc3c1c-2cc1ccccc13,-8.23,Training
c1ccc2c(c1)-c1ccc3ccc4cccc5cc-2c1c3c45,-9.16,Training
c1ccc2c(c1)-c1cccc3cccc-2c13,-6.0,Training
c1ccc2c(c1)-c1cccc3cccc-2c13,-6.0,Training
c1ccc2c(c1)-c1cccc3cccc-2c13,-5.94,Training
c1ccc2c(c1)-c1cccc3cccc-2c13,-6.0,Training
c1ccc2c(c1)ccc1cc3c(ccc4ccccc43)cc12,-8.66,Training
c1ccc2c3c(ccc2c1)-c1cccc2cccc-3c12,-8.0,Training
c1ccc2c3c(ccc2c1)-c1cccc2cccc-3c12,-8.0,Training
c1ccc2c3c(ccc2c1)-c1cccc2cccc-3c12,-8.0,Training
c1ccc2c(c1)ccc1ncccc12,-3.36,Training
c1ccc2c(c1)ccc1ncccc12,-3.36,Training
c1ccc2c(c1)ccc1ncccc12,-3.36,Training
c1ccc2c(c1)ccc1nccnc12,-2.68,Training
c1ccc2c(c1)cc1ccc3cccc4ccc2c1c34,-8.19,Training
c1ccc2c(c1)c1cccc3ccc4cccc2c4c31,-7.8,Training
c1ccc2c(c1)c1ccccc1c1ccccc21,-6.74,Training
c1ccc2c(c1)c1ccccc1c1ccccc21,-6.74,Training
c1ccc2c(c1)c1ccccc1c1ccccc21,-6.74,Training
c1ccc2c(c1)ccc1ccccc12,-5.26,Training
c1ccc2c(c1)cnc1ccccc12,-2.78,Training
c1ccc2c(c1)cnc1ccccc12,-2.78,Training
c1ccc2c(c1)cnc1ccccc12,-2.78,Training
c1ccc2ccccc2c1,-3.6,Training
c1ccc2ccccc2c1,-3.6,Training
c1ccc2cnccc2c1,-1.45,Training
c1ccc2cnccc2c1,-1.45,Training
c1ccc2cnccc2c1,-1.45,Training
c1ccc2ncccc2c1,-1.3,Training
c1ccc2ncccc2c1,-1.3,Training
c1ccc2ncccc2c1,-1.3,Training
c1ccc2nc(-c3ccc4ccccc4n3)ccc2c1,-5.4,Training
c1ccc2c(c1)ccc1c3ccccc3ccc21,-8.06,Training
c1cc2ccc3ccc4ccc5ccc6ccc1c1c2c3c4c5c61,-9.33,Training
c1cc2ccc3ccc4ccc5cccc6c(c1)c2c3c4c56,-9.03,Training
c1cc2c3c(ccc4c3c1CCC4)CCC2,-5.96,Training
c1ccc2c(c1)ccc1c2ccc2c3ccccc3ccc21,-7.87,Training
c1cc2ccc3cccc4ccc(c1)c2c34,-6.18,Training
c1cc2ccc3cccc4ccc(c1)c2c34,-6.19,Training
C1=Cc2cccc3cccc1c23,-3.96,Training
C1=Cc2cccc3cccc1c23,-3.96,Training
C1=Cc2cccc3cccc1c23,-3.96,Training
c1cc2c3c(cccc3c1)CC2,-4.63,Training
c1cc2c3c(cccc3c1)CC2,-4.63,Training
c1cc2c3c(cccc3c1)CC2,-4.63,Training
c1cc2cccc3c4cccc5cccc(c(c1)c23)c54,-8.8,Training
c1cc2cccc3c4cccc5cccc(c(c1)c23)c54,-8.8,Training
c1ccc2c(c1)CCc1ccccc1-2,-4.63,Training
c1ccc2ccccc2c1,-3.6,Training
c1ccc2c(c1)CCN2,-1.04,Training
c1ccc2c(c1)CCN2,-1.04,Training
c1ccc2nc(-c3ccc4ccccc4n3)ccc2c1,-5.4,Training
