smiles,logS
C=O,1.121
CC1CC2C3CCC4=CC(=O)C=CC4(C)C3(F)C(O)CC2(C)C1(O)C(=O)CO,-3.7075
CC(=O)OCC(=O)C1(O)CCC2C3CCC4=CC(=O)CCC4(C)C3C(O)CC12C,-4.458
CC(=O)OCC(=O)C1(O)CCC2C3CCC4=CC(=O)CCC4(C)C3C(=O)CC12C,-4.303999999999999
CCC1(c2ccccc2)C(=O)NC(=O)NC1=O,-2.3209999999999997
CN1C(=O)NC(=O)C(CC)(CC)C1=O,-2.0
O=P1(NCCCO1)N(CCCl)CCCl,-0.815
CC(O)C(O)=O,1.045
CC12CCC(=O)C=C1CCC1C2C(O)CC2(C)C(CCC21)C(=O)CO,-3.241
CC12CCC(=O)C=C1CCC1C2C(O)CC2(C)C1CCC2(O)C(=O)CO,-3.054
CC12C=CC(=O)C=C1CCC1C2C(O)CC2(C)C1CCC2(O)C(=O)CO,-3.2089999999999996
ClC(Cl)(Cl)C(c1ccc(Cl)cc1)c1ccc(Cl)cc1,-7.809
OC(=O)c1c(Cl)c(Cl)ccc1Cl,-1.4669999999999999
c1c2ccccc2c2ccc3cccc4ccc1c2c34,-8.192
CCCCC1C(=O)N(c2ccccc2)N(c2ccccc2)C1=O,-3.812
COC(=O)C1C2CCC(CC1OC(=O)c1ccccc1)N2C,-2.227
CNCCCN1c2ccccc2CCc2ccccc12,-3.658
CN(C)CCC=C1c2ccccc2CCc2ccccc21,-4.456
CN(C)CCCN1c2ccccc2CCc2ccccc12,-4.187
CN(C)CCCN1c2ccccc2Sc2ccc(Cl)cc12,-5.0969999999999995
[O-][N+](=O)c1cc(Cl)c(cc1)NC(=O)c1cc(Cl)ccc1O,-4.702
CC(=O)Oc1ccccc1C(O)=O,-1.5930000000000002
OC(CO)C1OC(=O)C(O)=C1O,0.3165
OC(=O)c1ccc(Cl)cc1Cl,-2.603
O=C1NC=C(F)C(=O)N1,-1.069
[O-][N+](=O)c1cc(ccc1O)[N+]([O-])=O,-1.819
CN1C2CC(CC1C1OC12)OC(=O)C(CO)c1ccccc1,-0.504
OC(=O)c1cc(Cl)cc(Cl)c1,-3.114
OC(=O)c1cc(Cl)c(Cl)cc1,-3.495
CN1C2CC(CC1CC2)OC(=O)C(CO)c1ccccc1,-2.119
NCCc1ccc(O)cc1,-1.12
CCOC(N)=O,0.731
CC12CCC3C4CCC(=O)C=C4CCC3C1CCC2(C#C)OC(C)=O,-4.784
CC(=O)SC1CC2=CC(=O)CCC2(C)C2CCC3(C)C(CCC43CCC(=O)O4)C21,-4.277
CC(=O)OCC(=O)C1(O)CCC2C3CCC4=CC(=O)C=CC4(C)C3C(O)CC12C,-4.369
CCC1(C2CCCCC=2)C(=O)NC(=O)NC1=O,-2.169
C=CCC1(CC=C)C(=O)NC(=O)NC1=O,-2.061
[O-][N+](=O)C(Br)(CO)CO,0.09699999999999999
NC1(CCCC1)C(O)=O,-0.41200000000000003
CC(C)(S)C(N)C(O)=O,-0.128
COP(=O)(OC)C(O)C(Cl)(Cl)Cl,-0.331
OC1(CCN(CCCC(=O)c2ccc(F)cc2)CC1)c1ccc(Cl)cc1,-4.428999999999999
CC12CCC(=O)C=C1CCC1C2C(=O)CC2(C)C1CCC2(O)C(=O)CO,-3.11
CC12CCC3C(CCc4cc(O)ccc43)C1CCC2=O,-3.955
ClC(Cl)C(c1ccccc1Cl)c1ccc(Cl)cc1,-6.505
CC12CCC3C(CCC4CC(O)CCC43C)C1CCC2=O,-4.402
CC12CCC3C(CC=C4CC(O)CCC43C)C1CCC2=O,-4.122
c1c2c3ccccc3ccc2cc2c3ccccc3ccc21,-8.048
CC(=O)Nc1cc2Cc3ccccc3-c2cc1,-4.625
CN1CCCC1c1c[n]ccc1,0.79
NS(=O)(=O)c1cc(C(O)=O)c(cc1Cl)NCc1ccco1,-3.656
NNC(=O)c1cc[n]cc1,0.009000000000000001
CCN(CC)N=O,0.016
NC(=O)c1ccccc1,-0.953
OC(=O)c1cc[n]cc1,-1.374
Cc1cc(ccc1SC)OP(=S)(OC)OC,-4.569
[O-][N+](=O)OC(CO[N+]([O-])=O)CO[N+]([O-])=O,-2.2159999999999997
NCCCC(O)=O,1.101
ClC(Cl)(Cl)Cl,-2.2880000000000003
CC12C3CCC(O3)C1(C)C(=O)OC2=O,-3.8160000000000003
CN1C(O)=NC(=O)C(C)(C2CCCCC=2)C1=O,-2.735
CCOP(=S)(Oc1ccc(cc1)[N+]([O-])=O)OCC,-4.649
