smiles,logS,dtype
CC1CC2C3CCC4=CC(=O)C=CC4(C)C3(F)C(O)CC2(C)C1(O)C(=O)CO,-3.7075,4 STAR
CC(=O)OCC(=O)C1(O)CCC2C3CCC4=CC(=O)CCC4(C)C3C(O)CC21C,-4.458,4 STAR
CC(=O)OCC(=O)C1(O)CCC2C3CCC4=CC(=O)CCC4(C)C3C(=O)CC21C,-4.303999999999999,4 STAR
CCC1(c2ccccc2)C(=O)NC(=O)NC1=O,-2.3209999999999997,4 STAR
CCC1(CC)C(=O)NC(=O)N(C)C1=O,-2.0,4 STAR
O=P1(N(CCCl)CCCl)NCCCO1,-0.815,4 STAR
CC(O)C(=O)O,1.045,4 STAR
CC12CCC(=O)C=C1CCC1C2C(O)CC2(C)C(C(=O)CO)CCC12,-3.241,4 STAR
CC12CCC(=O)C=C1CCC1C2C(O)CC2(C)C1CCC2(O)C(=O)CO,-3.054,4 STAR
CC12C=CC(=O)C=C1CCC1C2C(O)CC2(C)C1CCC2(O)C(=O)CO,-3.2089999999999996,4 STAR
Clc1ccc(C(c2ccc(Cl)cc2)C(Cl)(Cl)Cl)cc1,-7.809,4 STAR
O=C(O)c1c(Cl)ccc(Cl)c1Cl,-1.4669999999999999,4 STAR
c1ccc2c(c1)cc1ccc3cccc4ccc2c1c34,-8.192,4 STAR
CCCCC1C(=O)N(c2ccccc2)N(c2ccccc2)C1=O,-3.812,4 STAR
COC(=O)C1C(OC(=O)c2ccccc2)CC2CCC1N2C,-2.227,4 STAR
CNCCCN1c2ccccc2CCc2ccccc21,-3.658,4 STAR
CN(C)CCC=C1c2ccccc2CCc2ccccc21,-4.456,4 STAR
CN(C)CCCN1c2ccccc2CCc2ccccc21,-4.187,4 STAR
CN(C)CCCN1c2ccccc2Sc2ccc(Cl)cc21,-5.0969999999999995,4 STAR
O=C(Nc1ccc([N+](=O)[O-])cc1Cl)c1cc(Cl)ccc1O,-4.702,4 STAR
CC(=O)Oc1ccccc1C(=O)O,-1.5930000000000002,4 STAR
O=C1OC(C(O)CO)C(O)=C1O,0.3165,4 STAR
O=C(O)c1ccc(Cl)cc1Cl,-2.603,4 STAR
O=c1[nH]cc(F)c(=O)[nH]1,-1.069,4 STAR
O=[N+]([O-])c1ccc(O)c([N+](=O)[O-])c1,-1.819,4 STAR
CN1C2CC(OC(=O)C(CO)c3ccccc3)CC1C1OC12,-0.504,4 STAR
O=C(O)c1cc(Cl)cc(Cl)c1,-3.114,4 STAR
O=C(O)c1ccc(Cl)c(Cl)c1,-3.495,4 STAR
CN1C2CCC1CC(OC(=O)C(CO)c1ccccc1)C2,-2.119,4 STAR
NCCc1ccc(O)cc1,-1.12,4 STAR
CCOC(N)=O,0.731,4 STAR
C#CC1(OC(C)=O)CCC2C3CCC4=CC(=O)CCC4C3CCC21C,-4.784,4 STAR
CC(=O)SC1CC2=CC(=O)CCC2(C)C2CCC3(C)C(CCC34CCC(=O)O4)C12,-4.277,4 STAR
CC(=O)OCC(=O)C1(O)CCC2C3CCC4=CC(=O)C=CC4(C)C3C(O)CC21C,-4.369,4 STAR
CCC1(C2=CCCCC2)C(=O)NC(=O)NC1=O,-2.169,4 STAR
C=CCC1(CC=C)C(=O)NC(=O)NC1=O,-2.061,4 STAR
O=[N+]([O-])C(Br)(CO)CO,0.09699999999999999,4 STAR
