"ChemID","CAS","CAS_checksum","NAME","name_error","preferred_name","iupac",smilesorg,"STAR_flag",newstarflag,smiles,"InChI_Code_QSARr","InChI Key_QSARr","Salt_Solvent","Salt_Solvent_ID","WS","WS Temperature","WS Data Type","WS Reference","DataSet",logS,"LogEst","Error","gsid","dsstox_substance_id","qc_level","dsstox_compound_id","Tr_1_Tst_0","[Cl]","[Cl].[Cl]","[Br]","[I]","[Li]","[La]","[Na]","[Na].[Na]","[K]","[K].[K]","[Ca]","[Ca].[Ca]","[Mg]","[Mg].[Mg]","[Mn]","[Mn].[Mn]","[O]","[N]","[Be]","[Ba]","[Co]","[Ni]","[Ni].[Ni]","[Zn]","[Zn].[Mn]","[Zr]","[V]","[Cd]","[B]","[Pb]","[Ag]","[Al]","[Al].[Al]","[Cu]","[Cu].[Cu]","[Fe]","[Fe].[Fe]","[Gd]","[Sn]","[Sr]","[Ti]","[Cs]","[As]","OB(O)O","CCN","NCCO","[V+3][O-]","CC(=O)O","O=PO","[O-][N+](=O)O","CCNCC","NC(N)=O","NC(N)=S","O=S(=O)(O)O","O=C(O)O","O=S(O)O","C(=O)(O)C(=O)O","C(=O)(O)C(C)O","C(=O)(O)C(O)(CC(=O)O)CC(=O)O","C(=O)(O)C(O)C(O)C(=O)O","C(=O)(O)C=CC(=O)O","C(=O)(O)c1c(O)cccc1","C(=O)(O)c1ccccc1","C(=O)(O)CCC(=O)O","C(=O)(O)CCCCC(=O)O","C(=O)(O)CCCCCCCCCCCCCCCCC","C(=O)O","C(C)S(=O)(=O)O","C(CO)S(=O)(=O)O","C(F)(F)(F)C(=O)O","C(O)CN(C)C","C(O)CN(CCO)CCO","C(O)CNCCO","c1(S(=O)(=O)O)ccc(C)cc1","COS(=O)(=O)O","CS(=O)(=O)O","[N](=O)(O)O","[P](=O)(O)(O)O","[P](F)(F)(F)(F)(F)F","S(OCC)(=O)(=O)[O-]","CN","C=C","[C-]#N","IC","C([S-])#N","C=O","[C-]#[O+]","FC(F)(F)S([O-])(=O)=O","C1CCCCC1[NH]C1CCCCC1","CNC","NC(C)C","[Br].[Br]","[I].[I]","[Li].[Li]","[La].[La]","[Be].[Be]","[Ba].[Ba]","[Co].[Co]","[Zn].[Zn]","[Zr].[Zr]","[V].[V]","[Cd].[Cd]","[B].[B]","[Pb].[Pb]","[Ag].[Ag]","[Gd].[Gd]","[Sn].[Sn]","[Sr].[Sr]","[Ti].[Ti]","[Cs].[Cs]","[As].[As]","[Na].[Na].[Na]","[Cl].[Cl].[Cl]","[Cl].[Cl].[Cl].[Cl]","C(=O)(O)C.C(=O)(O)C","OS(=O)(=O)C(F)(F)F","F[B-](F)(F)F","N[C@@H](CCCNC(N)=N)C(O)=O","CCN(CC)CCO","NCCN","CNCC(O)C(O)C(O)C(O)CO","CC(=O)C","CC(=O)NCC(=O)O","N","OCC(O)C1OC(=O)C(=C1O)O","NC(CC(=O)O)C(=O)O","C(Cc1ccccc1)NCc2ccccc2","C(CNCc1ccccc1)NCc2ccccc2","OS(=O)(=O)c1ccccc1","[Bi]","Br","CCCC=O","CCCC(=O)OCC","CC1(C)C2CCC1(CS(=O)(=O)O)C(=O)C2","Cl","OCC[N+](C)(C)C","OS(=O)(=O)c1ccc(Cl)cc1","OS(=O)(=O)NC1CCCCC1","OC(=O)C(Cl)Cl","CC(C)(N)CO","CS(=O)C","OS(=O)(=O)CCS(=O)(=O)O","OCCN1CCCC1","CC(C)(C)N","CCCCCCCCCCCCOS(=O)(=O)O","CCO","CCOS(=O)(=O)O","F","OCC(O)C(O)C(O)C(O)C(O)C(=O)O","OCC(O)C(O)C(O)C(O)C(=O)O","OC1OC(C(O)C(O)C1O)C(=O)O","NC(CCC(=O)O)C(=O)O","OCC(O)CO","OCC(O)COP(=O)(O)O","OC(=O)CNC(=O)c1ccccc1","OC(C=O)C(O)C(O)C(O)C(=O)O","OC(=O)c5c(O)cc6ccccc6c5Cc7c(C(=O)O)c(O)cc8ccccc78","I","OCC(O)C(OC1OC(CO)C(O)C(O)C1O)C(O)C(O)C(=O)O","NCCCCC(N)C(=O)O","OC(CC(=O)O)C(=O)O","OP(=O)=O","O[Mg+]","OP(F)(O)=O","OS(=O)(=O)c1cccc2c(cccc12)S(=O)(=O)O","OS(=O)(=O)c1ccc2ccccc2c1","CCCCCCCCCCCCCCCC(=O)O","OC(=O)c1cc2ccccc2c(Cc3c(O)c(cc4ccccc34)C(=O)O)c1O","OCl(=O)(=O)=O","Nc1ccc(cc1)P(=O)(O)O","Oc1c(cc(cc1[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-]","C1CNCCN1","CC(O)CO","OC(C(O)C(O)C(=O)O)C(O)C(=O)O","O=C1NS(=O)(=O)c2ccccc12","c1ccc(C(=O)O)c(O)c1S(=O)(=O)O","[S-2]","OC(=O)c1ccc(cc1)C(=O)O","Oc1cc(Cl)c(Cl)cc1Cl","CCN(CC)CC","OC(=O)C(c1ccccc1)(c2ccccc2)c3ccccc3","NC(CO)(CO)CO","CCCCC1CCC(CC1)C(=O)O","CCCC(=O)O","CCCCCC(=O)O","CC12C=CC(C(=O)O)(CC2)CC1","C1CCCC1CCC(=O)O","CN(C)CCC(=O)O","OC(=O)CN(CC(=O)O)CCN(CC(=O)O)CC(=O)O","OC(=O)CCCCCCCC=CCCCCCCCC","CCCCCCC(=O)O","CCOC(=O)O","COCCO","OCOC(=O)C(CC)CC","CCCCCCCCCCCCCCOP(=O)(O)O","OC(=O)c1ccco1","c1cc(O)ccc1C(=O)c2ccccc2C(=O)O","CCCCCCCCCCCC(=O)O","CC=C(C)C(=O)O","CC(O)(C)CCCC(O)(C(=O)O)CC(=O)OC","OC(=O)c1cccc(c1)S(=O)(=O)O","CSCCC(N)C(=O)C","c1ccncc1C(=O)O","OO","c1ccccc1CCC(=O)O","c1ccccc1CC(=O)O","CC(C)(C)C(=O)O","CCC(=O)O","CC(C)(C)CC(=O)O","CCCCCCCCCCC(=O)O","OC(=O)CCCCCCCCC=C","CCCCC(=O)O","O","OC(=O)c1ccc2ccccc2c1O","N1C=CN=C1","OCCN1CCOCC1","CC(=O)NC1=CC=C(C=C1)C(O)=O","CC1(C)[C@H](CC[C@@]1(C)C(O)=O)C(O)=O","CCCCCCCCCC(O)=O","CCCCCCCC(O)=O","OC(=O)\C=C\C1=CC=CC=C1","OC(=O)C1=C(O)C=CC(O)=C1","OC(=O)CCCC(O)=O","OC(=O)CCC(=O)C(O)=O","OCC(O)=O","CC(C)C(O)=O","OC(C(O)=O)C1=CC=CC=C1","OC(=O)C1=CC(=O)NC(=O)N1","OC(=O)[C@@H]1CCC(=O)N1","SC#N","CC1=CC(C)=C(C(C)=C1)S(O)(=O)=O","OC(=O)CC(O)=O","O[K]","[Li]O","O[Na]","ClCCl","ClC(Cl)Cl","CCOC(C)=O","CO","CC(C)O","OS(F)(=O)=O","CC(=O)OS(O)(=O)=O"
100001.0,"50-00-0","ValidCAS","FORMALDEHYDE","Ok","Formaldehyde","formaldehyde","C=O","3 STAR","4 STAR: Smiles generated","C=O","InChI=1S/CH2O/c1-2/h1H2","WSFSSNUMVMOOMR-UHFFFAOYSA-N","?",0,400000.0,20.0,"EXP","PICKRELL,JA ET AL. (1983)","T",1.121,0.262,0.859,20637,"DTXSID7020637","DSSTox_High","DTXCID30637",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100002.0,"50-02-2, 378-44-9","ValidCAS","DEXAMETHASONE, BETAMETHASONE",,"Dexamethasone","(11beta,16alpha)-9-fluoro-11,17,21-trihydroxy-16-methylpregna-1,4-diene-3,20-dione","C[C@@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@@]1(O)C(=O)CO","2 STAR Enhanced Stereochemistry: Molfile, CAS","4 STAR: Name retrieved from DSSTOX, Smiles generated","CC1CC2C3CCC4=CC(=O)C=CC4(C)C3(F)C(O)CC2(C)C1(O)C(=O)CO","InChI=1S/C22H29FO5/c1-12-8-16-15-5-4-13-9-14(25)6-7-19(13,2)21(15,23)17(26)10-20(16,3)22(12,28)18(27)11-24/h6-7,9,12,15-17,24,26,28H,4-5,8,10-11H2,1-3H3","UREBDLICKHMUKA-UHFFFAOYSA-N","?",0,77.75,25.0,"EXP","YALKOWSKY,SH & HE,Y (2003)","T",-3.7075,-4.391500000000001,0.6835,20384,"DTXSID3020384","DSSTox_High","DTXCID10384",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100003.0,"50-03-3","ValidCAS","HYDROCORTISONE ACETATE",,"Hydrocortisone acetate","(8xi,9xi,11beta,14xi)-11,17-dihydroxy-3,20-dioxopregn-4-en-21-yl acetate","CC(=O)OCC(=O)[C@@]1(O)CCC2C3CCC4=CC(=O)CC[C@]4(C)C3[C@@H](O)C[C@]12C","2 STAR Enhanced Stereochemistry: Molfile, CAS","4 STAR: Name retrieved from DSSTOX, Smiles generated","CC(=O)OCC(=O)C1(O)CCC2C3CCC4=CC(=O)CCC4(C)C3C(O)CC12C","InChI=1S/C23H32O6/c1-13(24)29-12-19(27)23(28)9-7-17-16-5-4-14-10-15(25)6-8-21(14,2)20(16)18(26)11-22(17,23)3/h10,16-18,20,26,28H,4-9,11-12H2,1-3H3","ALEXXDVDDISNDU-UHFFFAOYSA-N","?",0,14.1,25.0,"EXP","YALKOWSKY,SH & DANNENFELSER,RM (1992)","T",-4.458,-4.607,0.149,48686,"DTXSID0048686","DSSTox_Low","DTXCID0028612",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100004.0,"50-04-4","ValidCAS","CORTISONE ACETATE",,"Cortisone acetate","17-hydroxy-3,11,20-trioxopregn-4-en-21-yl acetate","CC(=O)OCC(=O)[C@@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3C(=O)C[C@]12C","2 STAR Enhanced Stereochemistry: Molfile, CAS","4 STAR: Name retrieved from DSSTOX, Smiles generated","CC(=O)OCC(=O)C1(O)CCC2C3CCC4=CC(=O)CCC4(C)C3C(=O)CC12C","InChI=1S/C23H30O6/c1-13(24)29-12-19(27)23(28)9-7-17-16-5-4-14-10-15(25)6-8-21(14,2)20(16)18(26)11-22(17,23)3/h10,16-17,20,28H,4-9,11-12H2,1-3H3","ITRJWOMZKQRYTA-UHFFFAOYSA-N","?",0,20.0,25.0,"EXP","YALKOWSKY,SH & DANNENFELSER,RM (1992)","T",-4.304,-4.104,-0.2,22858,"DTXSID0022858","DSSTox_Low","DTXCID502858",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100005.0,"50-06-6","ValidCAS","PHENOBARBITAL",,"Phenobarbital","5-ethyl-5-phenylpyrimidine-2,4,6(1H,3H,5H)-trione","CCC1(c2ccccc2)C(=O)NC(=O)NC1=O","2 STAR: Molfile, CAS","4 STAR: Name retrieved from DSSTOX, Smiles generated","CCC1(c2ccccc2)C(=O)NC(=O)NC1=O","InChI=1S/C12H12N2O3/c1-2-12(8-6-4-3-5-7-8)9(15)13-11(17)14-10(12)16/h3-7H,2H2,1H3,(H2,13,14,15,16,17)","DDBREPKUVSBGFI-UHFFFAOYSA-N","?",0,1110.0,25.0,"EXP","YALKOWSKY,SH & DANNENFELSER,RM (1992)","T",-2.321,-2.836,0.516,21122,"DTXSID5021122","DSSTox_Low","DTXCID701122",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100006.0,"50-11-3","ValidCAS","METHARBITAL",,"Metharbital","5,5-diethyl-1-methylpyrimidine-2,4,6(1H,3H,5H)-trione","CN1C(=O)NC(=O)C(CC)(CC)C1=O","2 STAR: Molfile, CAS","4 STAR: Name retrieved from DSSTOX, Smiles generated","CN1C(=O)NC(=O)C(CC)(CC)C1=O","InChI=1S/C9H14N2O3/c1-4-9(5-2)6(12)10-8(14)11(3)7(9)13/h4-5H2,1-3H3,(H,10,12,14)","FWJKNZONDWOGMI-UHFFFAOYSA-N","?",0,1980.0,25.0,"EXP","YALKOWSKY,SH & DANNENFELSER,RM (1992)","T",-2.0,-2.229,0.229,23280,"DTXSID6023280","DSSTox_Low","DTXCID103280",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100007.0,"50-18-0","ValidCAS","CYCLOPHOSPHAMIDE",,"Cyclophosphamide","N,N-bis(2-chloroethyl)-1,3,2-oxazaphosphinan-2-amine 2-oxide","O=P1(NCCCO1)N(CCCl)CCCl","2 STAR: Molfile, CAS","4 STAR: Name retrieved from DSSTOX, Smiles generated","O=P1(NCCCO1)N(CCCl)CCCl","InChI=1S/C7H15Cl2N2O2P/c8-2-5-11(6-3-9)14(12)10-4-1-7-13-14/h1-7H2,(H,10,12)","CMSMOCZEIVJLDB-UHFFFAOYSA-N","?",0,40000.0,20.0,"EXP","IARC (1975)","T",-0.815,-0.897,0.082,20364,"DTXSID5020364","DSSTox_Low","DTXCID70364",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100009.0,"50-21-5","ValidCAS","LACTIC ACID",,"Lactic acid","2-hydroxypropanoic acid","CC(O)C(O)=O","2 STAR: Molfile, CAS","4 STAR: Name retrieved from DSSTOX, Smiles generated","CC(O)C(O)=O","InChI=1S/C3H6O3/c1-2(4)3(5)6/h2,4H,1H3,(H,5,6)","JVTAAEKCZFNVCJ-UHFFFAOYSA-N","?",0,1000000.0,,"EXP","MERCK INDEX (2001)","T",1.045,1.045,0.0,23192,"DTXSID7023192","DSSTox_High","DTXCID003192",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100010.0,"50-22-6","ValidCAS","CORTICOSTERONE",,"Corticosterone","(11beta)-11,21-dihydroxypregn-4-ene-3,20-dione","C[C@]12CCC(=O)C=C1CC[C@@H]1[C@@H]2[C@@H](O)C[C@]2(C)[C@H](CC[C@H]21)C(=O)CO","2 STAR Enhanced Stereochemistry: Molfile, CAS","4 STAR: Name retrieved from DSSTOX, Smiles generated","CC12CCC(=O)C=C1CCC1C2C(O)CC2(C)C(CCC21)C(=O)CO","InChI=1S/C21H30O4/c1-20-8-7-13(23)9-12(20)3-4-14-15-5-6-16(18(25)11-22)21(15,2)10-17(24)19(14)20/h9,14-17,19,22,24H,3-8,10-11H2,1-2H3","OMFXVFTZEKFJBZ-UHFFFAOYSA-N","?",0,199.0,25.0,"EXP","YALKOWSKY,SH & VALVANI,SC (1980)","T",-3.241,-3.692,0.452,22474,"DTXSID6022474","DSSTox_Low","DTXCID702474",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100011.0,"50-23-7","ValidCAS","HYDROCORTISONE",,"Hydrocortisone","(11beta)-11,17,21-trihydroxypregn-4-ene-3,20-dione","C[C@]12CCC(=O)C=C1CC[C@@H]1[C@@H]2[C@@H](O)C[C@@]2(C)[C@H]1CC[C@]2(O)C(=O)CO","2 STAR Enhanced Stereochemistry: Molfile, CAS","4 STAR: Name retrieved from DSSTOX, Smiles generated","CC12CCC(=O)C=C1CCC1C2C(O)CC2(C)C1CCC2(O)C(=O)CO","InChI=1S/C21H30O5/c1-19-7-5-13(23)9-12(19)3-4-14-15-6-8-21(26,17(25)11-22)20(15,2)10-16(24)18(14)19/h9,14-16,18,22,24,26H,3-8,10-11H2,1-2H3","JYGXADMDTFJGBT-UHFFFAOYSA-N","?",0,320.0,25.0,"EXP","YALKOWSKY,SH & HE,Y (2003)","T",-3.054,-3.739,0.684,20714,"DTXSID7020714","DSSTox_Low","DTXCID10714",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
